,gato,perro,vaca,caballo,cerdo,oveja,cabra,pollo,pato,ganso,conejo,ratón,rata,ciervo,oso,lobo,zorro,león,tigre,elefante,mono,jirafa,cebra,camello,canguro,serpiente,rana,pez,ballena,delfín,águila,búho,cuervo,abeja,hormiga,mariposa,araña,tortuga,tiburón,pingüino
kat,0.50,0.00,0.25,0.14,0.00,0.00,0.20,0.00,0.50,0.20,0.00,0.40,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.17,0.00,0.14,0.14,0.11,0.25,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.20,0.14,0.00,0.00
hund,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.25,0.00,0.00,0.00,0.14,0.11,0.25,0.00,0.14,0.00,0.17,0.00,0.17,0.00,0.14,0.00,0.00,0.14,0.14,0.12
ko,0.25,0.20,0.00,0.14,0.20,0.00,0.00,0.20,0.25,0.20,0.17,0.00,0.00,0.17,0.33,0.25,0.20,0.00,0.00,0.00,0.25,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.17,0.00,0.14,0.12,0.00,0.14,0.00,0.12
hest,0.00,0.20,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.20,0.14,0.00,0.22,0.00,0.25,0.14,0.17,0.00,0.00,0.17,0.20,0.14,0.12,0.00,0.14,0.00,0.00
svin,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.14,0.17,0.17,0.00,0.00,0.00,0.14,0.12,0.00,0.00,0.14,0.25
får,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.00,0.20,0.12,0.00,0.17,0.20,0.00,0.14,0.11,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.14,0.12,0.00,0.14,0.14,0.00
ged,0.25,0.20,0.00,0.00,0.40,0.20,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.25,0.20,0.12,0.00,0.00,0.20,0.14,0.14,0.11,0.00,0.33,0.14,0.17,0.17,0.00,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.12
kylling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.14,0.00,0.29,0.00,0.12,0.14,0.00,0.00,0.00,0.00,0.22,0.14,0.00,0.43,0.29,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.25
and,0.25,0.00,0.25,0.14,0.20,0.00,0.20,0.00,0.25,0.40,0.17,0.20,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.17,0.00,0.14,0.29,0.11,0.50,0.00,0.29,0.00,0.00,0.00,0.00,0.20,0.00,0.12,0.20,0.00,0.00,0.12
gås,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.12
kanin,0.20,0.00,0.20,0.14,0.00,0.00,0.20,0.00,0.20,0.40,0.17,0.40,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.25,0.20,0.00,0.00,0.14,0.29,0.22,0.40,0.00,0.29,0.17,0.17,0.00,0.00,0.00,0.14,0.25,0.00,0.00,0.14,0.38
mus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.00,0.14,0.25,0.00,0.14,0.14,0.00
rotte,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.17,0.40,0.40,0.00,0.20,0.20,0.20,0.00,0.20,0.25,0.20,0.00,0.00,0.00,0.00,0.33,0.20,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.00,0.29,0.00,0.00
hjort,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.20,0.20,0.00,0.20,0.12,0.20,0.17,0.20,0.00,0.14,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.29,0.12,0.00,0.29,0.14,0.00
bjørn,0.00,0.20,0.00,0.14,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.17,0.00,0.00,0.20,0.20,0.20,0.12,0.00,0.17,0.20,0.00,0.14,0.11,0.00,0.00,0.29,0.17,0.00,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.29,0.12
