,gato,perro,vaca,caballo,cerdo,oveja,cabra,pollo,pato,ganso,conejo,ratón,rata,ciervo,oso,lobo,zorro,león,tigre,elefante,mono,jirafa,cebra,camello,canguro,serpiente,rana,pez,ballena,delfín,águila,búho,cuervo,abeja,hormiga,mariposa,araña,tortuga,tiburón,pingüino
cat,0.50,0.00,0.25,0.29,0.20,0.00,0.40,0.00,0.50,0.20,0.17,0.40,0.50,0.17,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.17,0.20,0.29,0.29,0.11,0.25,0.00,0.14,0.00,0.00,0.00,0.17,0.00,0.00,0.12,0.20,0.14,0.00,0.00
dog,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.25,0.20,0.00,0.20,0.00,0.25,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.29,0.12,0.00,0.29,0.00,0.12
cow,0.00,0.00,0.00,0.14,0.20,0.00,0.20,0.20,0.00,0.00,0.33,0.00,0.00,0.17,0.00,0.25,0.20,0.00,0.00,0.00,0.25,0.00,0.20,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.14,0.12,0.00,0.14,0.00,0.00
horse,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.17,0.00,0.00,0.17,0.40,0.20,0.40,0.00,0.20,0.12,0.20,0.17,0.00,0.00,0.00,0.22,0.00,0.00,0.14,0.00,0.00,0.00,0.17,0.00,0.43,0.25,0.00,0.29,0.14,0.00
pig,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.25,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.17,0.00,0.00,0.14,0.22,0.00,0.33,0.00,0.00,0.17,0.00,0.00,0.00,0.29,0.12,0.00,0.14,0.14,0.38
sheep,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.20,0.00,0.12,0.00,0.00,0.00,0.14,0.00,0.22,0.00,0.20,0.14,0.00,0.00,0.00,0.17,0.20,0.00,0.12,0.00,0.00,0.00,0.00
goat,0.50,0.00,0.00,0.14,0.00,0.00,0.00,0.20,0.25,0.20,0.17,0.20,0.25,0.00,0.25,0.25,0.20,0.00,0.00,0.25,0.25,0.17,0.00,0.00,0.14,0.11,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.14,0.12,0.20,0.29,0.00,0.12
chicken,0.00,0.00,0.14,0.14,0.14,0.00,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.29,0.00,0.00,0.00,0.14,0.29,0.00,0.00,0.14,0.14,0.14,0.14,0.22,0.00,0.14,0.14,0.14,0.00,0.00,0.14,0.00,0.00,0.12,0.00,0.00,0.14,0.12
duck,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.14,0.14,0.00
goose,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.40,0.17,0.00,0.00,0.00,0.40,0.20,0.20,0.00,0.20,0.12,0.20,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.14,0.00,0.17,0.00,0.00,0.00,0.14,0.25,0.00,0.14,0.00,0.12
