,kot,pies,krowa,koń,świnia,owce,koza,kurczak,kaczka,gęś,królik,mysz,szczur,jeleń,niedźwiedź,wilk,lis,lew,tygrys,słoń,małpa,żyrafa,zebra,wielbłąd,kangur,wąż,żaba,ryba,wieloryb,delfin,orzeł,sowa,wrona,pszczoła,mrówka,motyl,pająk,żółw,rekin,pingwin
cat,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.00,0.00,0.00
dog,0.33,0.00,0.20,0.33,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.17,0.25,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.17,0.00,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.14
cow,0.33,0.00,0.40,0.33,0.00,0.25,0.25,0.14,0.17,0.00,0.00,0.00,0.17,0.00,0.10,0.00,0.00,0.33,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.50,0.20,0.25,0.17,0.20,0.00,0.25,0.00,0.14
horse,0.20,0.20,0.00,0.20,0.00,0.40,0.20,0.14,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.00,0.20,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.40,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00
pig,0.00,0.50,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.10,0.25,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.12,0.17,0.00,0.00,0.00,0.12,0.17,0.00,0.00,0.00,0.12,0.00,0.00,0.20,0.00,0.20,0.43
sheep,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
goat,0.50,0.00,0.20,0.25,0.00,0.00,0.25,0.14,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.14
chicken,0.14,0.29,0.00,0.14,0.14,0.29,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.10,0.29,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.12,0.14,0.00,0.14,0.00,0.29,0.14
duck,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.43,0.33,0.00,0.17,0.00,0.17,0.00,0.10,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.17,0.00,0.20,0.00,0.00,0.00
goose,0.20,0.20,0.20,0.20,0.00,0.40,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.10,0.00,0.20,0.00,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.00
