,kot,pies,krowa,koń,świnia,owce,koza,kurczak,kaczka,gęś,królik,mysz,szczur,jeleń,niedźwiedź,wilk,lis,lew,tygrys,słoń,małpa,żyrafa,zebra,wielbłąd,kangur,wąż,żaba,ryba,wieloryb,delfin,orzeł,sowa,wrona,pszczoła,mrówka,motyl,pająk,żółw,rekin,pingwin
gato,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.25,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.00,0.00,0.14
perro,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.40,0.12,0.00,0.00,0.00,0.00,0.25,0.17,0.00,0.00,0.00,0.25,0.00,0.00,0.20,0.00,0.20,0.14
vaca,0.00,0.00,0.20,0.00,0.17,0.25,0.25,0.29,0.50,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.33,0.20,0.00,0.17,0.00,0.50,0.25,0.00,0.00,0.00,0.25,0.20,0.25,0.17,0.00,0.20,0.00,0.00,0.00
caballo,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.00,0.14,0.00,0.14,0.14,0.14,0.00,0.00,0.14,0.14,0.14,0.00,0.14,0.00,0.43,0.29,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00
cerdo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.20,0.12,0.00,0.00,0.00,0.00,0.25,0.17,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.20,0.00
oveja,0.00,0.20,0.20,0.00,0.17,0.20,0.20,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.20,0.00,0.00,0.20,0.17,0.20,0.12,0.00,0.00,0.20,0.20,0.12,0.00,0.20,0.20,0.20,0.12,0.17,0.00,0.00,0.00,0.00,0.00
cabra,0.00,0.00,0.20,0.00,0.17,0.00,0.20,0.14,0.33,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.40,0.17,0.60,0.12,0.17,0.00,0.60,0.40,0.12,0.00,0.00,0.20,0.20,0.25,0.17,0.00,0.20,0.00,0.00,0.00
pollo,0.20,0.20,0.00,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.25,0.17,0.00,0.20,0.00,0.25,0.00,0.20,0.20,0.00,0.00,0.14
pato,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.25,0.00,0.12,0.00,0.00,0.00,0.00,0.25,0.00,0.20,0.40,0.00,0.00,0.14
ganso,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.17,0.00,0.20,0.00,0.00,0.00,0.33,0.00,0.20,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.20,0.00,0.00,0.14
conejo,0.17,0.17,0.00,0.17,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.10,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.00,0.17,0.17,0.17,0.12,0.00,0.17,0.00,0.00,0.00,0.14
ratón,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.20,0.20,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.20,0.20,0.00,0.40,0.14
rata,0.25,0.00,0.40,0.00,0.17,0.00,0.25,0.29,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.50,0.20,0.00,0.17,0.00,0.50,0.50,0.00,0.00,0.20,0.25,0.40,0.12,0.33,0.20,0.20,0.00,0.20,0.00
ciervo,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.17,0.17,0.17,0.17,0.00,0.00,0.00,0.17,0.25,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.17,0.14
oso,0.00,0.00,0.20,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.25,0.20,0.25,0.00,0.20,0.00,0.00,0.00,0.00
lobo,0.25,0.00,0.20,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.20,0.12,0.00,0.00,0.25,0.25,0.25,0.17,0.00,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.00
zorro,0.20,0.00,0.00,0.20,0.00,0.20,0.20,0.14,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.40,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.20,0.20,0.00,0.12,0.00,0.20,0.00,0.00,0.00,0.00
león,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.10,0.00,0.25,0.50,0.00,0.00,0.00,0.00,0.20,0.12,0.00,0.00,0.00,0.00,0.12,0.33,0.00,0.00,0.20,0.00,0.17,0.00,0.00,0.00,0.40,0.14
tigre,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.00,0.50,0.00,0.00,0.00,0.20,0.12,0.17,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
elefante,0.12,0.12,0.12,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.20,0.00,0.12,0.25,0.00,0.00,0.12,0.12,0.12,0.12,0.12,0.00,0.12,0.12,0.12,0.38,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.25,0.00
mono,0.25,0.00,0.20,0.25,0.17,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.00,0.00,0.25,0.40,0.12,0.17,0.40,0.00,0.00,0.00,0.14
jirafa,0.00,0.17,0.33,0.00,0.17,0.00,0.17,0.29,0.17,0.00,0.00,0.00,0.00,0.17,0.10,0.17,0.17,0.00,0.00,0.00,0.17,0.67,0.17,0.12,0.00,0.00,0.33,0.33,0.12,0.00,0.17,0.17,0.33,0.12,0.17,0.00,0.00,0.00,0.00,0.14
cebra,0.00,0.00,0.20,0.00,0.17,0.00,0.20,0.14,0.17,0.00,0.00,0.00,0.17,0.20,0.10,0.00,0.00,0.20,0.17,0.00,0.20,0.17,0.80,0.25,0.00,0.00,0.40,0.40,0.25,0.17,0.00,0.20,0.20,0.25,0.17,0.00,0.00,0.00,0.20,0.00
