,katt,hund,ko,häst,gris,får,get,kyckling,anka,gås,kanin,mus,råtta,rådjur,björn,varg,räv,lejon,tiger,elefant,apa,giraff,zebra,kamel,känguru,orm,groda,fisk,val,delfin,örn,uggla,gala,bi,myra,fjäril,spindel,sköldpadda,haj,pingvin
kissa,0.20,0.00,0.20,0.20,0.20,0.00,0.00,0.12,0.20,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.14,0.20,0.17,0.20,0.20,0.14,0.00,0.20,0.40,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.00,0.14,0.20,0.00,0.14
koira,0.20,0.00,0.40,0.00,0.20,0.20,0.00,0.25,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.14,0.20,0.33,0.40,0.20,0.29,0.40,0.20,0.20,0.00,0.00,0.20,0.20,0.20,0.20,0.40,0.17,0.14,0.20,0.00,0.00
lehmä,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.29,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.00
hevonen,0.00,0.29,0.14,0.14,0.00,0.00,0.14,0.12,0.14,0.00,0.29,0.00,0.00,0.00,0.14,0.14,0.14,0.43,0.14,0.14,0.00,0.00,0.14,0.14,0.00,0.14,0.14,0.00,0.14,0.29,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14
sika,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.12,0.50,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.14,0.25,0.33,0.20,0.00,0.00,0.00,0.20,0.25,0.00,0.00,0.00,0.20,0.25,0.25,0.25,0.00,0.29,0.20,0.00,0.14
lampaat,0.29,0.00,0.00,0.14,0.00,0.00,0.14,0.00,0.29,0.00,0.14,0.14,0.14,0.00,0.00,0.14,0.00,0.14,0.00,0.29,0.43,0.14,0.14,0.29,0.00,0.14,0.14,0.00,0.14,0.00,0.00,0.14,0.29,0.00,0.29,0.00,0.00,0.20,0.14,0.00
vuohi,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.17,0.00,0.00,0.00,0.20,0.00,0.17,0.00,0.00,0.00,0.14
kana,0.50,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.50,0.00,0.60,0.00,0.20,0.00,0.00,0.25,0.00,0.00,0.00,0.29,0.50,0.17,0.20,0.40,0.29,0.00,0.20,0.00,0.25,0.00,0.25,0.20,0.50,0.00,0.25,0.00,0.14,0.30,0.25,0.14
ankka,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.12,0.80,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.40,0.00,0.20,0.00,0.14,0.00,0.20,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.00,0.14,0.10,0.00,0.14
hanhi,0.20,0.40,0.00,0.20,0.00,0.00,0.00,0.12,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.20,0.00,0.00,0.20,0.14,0.00,0.00,0.00,0.20,0.17,0.20,0.00,0.20,0.20,0.00,0.17,0.14,0.10,0.40,0.29
kani,0.50,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.80,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.29,0.25,0.17,0.00,0.40,0.29,0.00,0.00,0.00,0.25,0.17,0.25,0.00,0.25,0.25,0.00,0.17,0.14,0.20,0.25,0.29
hiiri,0.00,0.20,0.00,0.20,0.20,0.20,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.14,0.20,0.00,0.20,0.00,0.17,0.20,0.00,0.00,0.20,0.20,0.33,0.14,0.00,0.20,0.29
rotta,0.40,0.00,0.20,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.80,0.17,0.00,0.00,0.20,0.00,0.00,0.14,0.20,0.00,0.20,0.00,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.00,0.00,0.10,0.00,0.00
peura,0.00,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.00,0.00,0.20,0.20,0.17,0.20,0.20,0.00,0.20,0.00,0.14,0.20,0.17,0.60,0.00,0.29,0.20,0.20,0.00,0.00,0.17,0.20,0.20,0.20,0.00,0.40,0.17,0.14,0.20,0.00,0.14
karhu,0.40,0.00,0.20,0.00,0.20,0.20,0.00,0.12,0.20,0.00,0.40,0.00,0.00,0.17,0.00,0.40,0.20,0.00,0.00,0.00,0.20,0.17,0.00,0.40,0.29,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.17,0.00,0.20,0.20,0.00
susi,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.25,0.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.25,0.00,0.17,0.00,0.00,0.00,0.25,0.00,0.17,0.14,0.10,0.00,0.14
