,gato,perro,vaca,caballo,cerdo,oveja,cabra,pollo,pato,ganso,conejo,ratón,rata,ciervo,oso,lobo,zorro,león,tigre,elefante,mono,jirafa,cebra,camello,canguro,serpiente,rana,pez,ballena,delfín,águila,búho,cuervo,abeja,hormiga,mariposa,araña,tortuga,tiburón,pingüino
chat,0.25,0.00,0.00,0.29,0.20,0.00,0.20,0.00,0.25,0.00,0.17,0.20,0.25,0.17,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.17,0.20,0.14,0.14,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.20,0.14,0.00,0.00
chien,0.00,0.00,0.00,0.14,0.20,0.00,0.20,0.00,0.00,0.00,0.33,0.20,0.00,0.33,0.00,0.00,0.00,0.20,0.00,0.12,0.00,0.00,0.20,0.29,0.14,0.33,0.00,0.20,0.29,0.17,0.17,0.00,0.17,0.00,0.14,0.12,0.00,0.00,0.14,0.12
vache,0.20,0.00,0.60,0.14,0.00,0.00,0.20,0.00,0.20,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.25,0.00,0.00,0.00,0.14,0.14,0.11,0.20,0.00,0.29,0.00,0.00,0.20,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00
cheval,0.00,0.17,0.17,0.29,0.33,0.33,0.33,0.00,0.00,0.00,0.17,0.00,0.17,0.33,0.00,0.00,0.00,0.17,0.00,0.25,0.00,0.00,0.33,0.29,0.14,0.11,0.17,0.17,0.14,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.17,0.00,0.00,0.00
cochon,0.17,0.17,0.17,0.14,0.33,0.17,0.17,0.33,0.17,0.17,0.33,0.17,0.00,0.17,0.33,0.33,0.33,0.17,0.00,0.12,0.33,0.00,0.17,0.14,0.14,0.11,0.00,0.00,0.14,0.17,0.00,0.33,0.17,0.00,0.14,0.12,0.00,0.14,0.14,0.12
mouton,0.33,0.17,0.00,0.00,0.17,0.17,0.00,0.33,0.33,0.17,0.17,0.33,0.17,0.00,0.33,0.33,0.33,0.17,0.00,0.12,0.50,0.00,0.00,0.14,0.14,0.11,0.00,0.00,0.14,0.17,0.17,0.17,0.00,0.00,0.14,0.25,0.00,0.29,0.29,0.12
chèvre,0.00,0.17,0.00,0.14,0.17,0.00,0.33,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.33,0.12,0.00,0.00,0.33,0.14,0.29,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.14,0.00
poulet,0.00,0.17,0.00,0.14,0.00,0.17,0.00,0.50,0.17,0.00,0.17,0.00,0.00,0.00,0.17,0.17,0.17,0.17,0.17,0.12,0.17,0.00,0.00,0.14,0.00,0.22,0.00,0.33,0.29,0.00,0.17,0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.14,0.12
canard,0.17,0.17,0.33,0.43,0.33,0.00,0.50,0.00,0.17,0.33,0.33,0.17,0.33,0.17,0.00,0.00,0.17,0.00,0.17,0.12,0.17,0.17,0.33,0.29,0.57,0.00,0.50,0.00,0.14,0.00,0.00,0.00,0.17,0.17,0.00,0.12,0.33,0.00,0.14,0.12
oie,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.20,0.00,0.00,0.33,0.00,0.00,0.33,0.33,0.25,0.20,0.00,0.40,0.12,0.25,0.17,0.00,0.14,0.00,0.22,0.00,0.00,0.14,0.00,0.17,0.00,0.17,0.20,0.29,0.12,0.00,0.14,0.14,0.12
lapin,0.20,0.00,0.20,0.14,0.00,0.00,0.20,0.00,0.20,0.20,0.00,0.40,0.20,0.00,0.00,0.20,0.00,0.40,0.00,0.25,0.00,0.00,0.00,0.14,0.14,0.33,0.20,0.20,0.29,0.17,0.17,0.00,0.00,0.00,0.14,0.25,0.00,0.00,0.14,0.25
souris,0.00,0.17,0.00,0.00,0.17,0.17,0.17,0.17,0.00,0.00,0.17,0.00,0.00,0.17,0.17,0.17,0.33,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.14,0.22,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.00,0.29,0.25,0.00,0.14,0.29,0.12
rat,0.50,0.20,0.25,0.14,0.20,0.00,0.20,0.00,0.50,0.20,0.00,0.60,0.75,0.17,0.00,0.00,0.20,0.00,0.00,0.25,0.00,0.33,0.20,0.14,0.14,0.22,0.50,0.00,0.14,0.00,0.00,0.00,0.17,0.00,0.14,0.12,0.40,0.14,0.14,0.00
cerf,0.00,0.40,0.00,0.14,0.60,0.20,0.40,0.00,0.00,0.00,0.33,0.00,0.00,0.50,0.00,0.00,0.20,0.25,0.20,0.12,0.00,0.33,0.60,0.29,0.29,0.22,0.00,0.25,0.14,0.33,0.00,0.00,0.50,0.20,0.14,0.12,0.00,0.14,0.14,0.00
ours,0.00,0.20,0.00,0.00,0.20,0.20,0.20,0.20,0.00,0.20,0.17,0.00,0.00,0.17,0.25,0.00,0.40,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.29,0.11,0.00,0.00,0.00,0.00,0.17,0.00,0.33,0.00,0.14,0.25,0.00,0.29,0.29,0.00
loup,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.25,0.50,0.20,0.25,0.00,0.12,0.25,0.00,0.00,0.00,0.14,0.11,0.00,0.00,0.14,0.17,0.17,0.00,0.00,0.00,0.14,0.12,0.00,0.29,0.14,0.00
renard,0.17,0.33,0.17,0.14,0.33,0.17,0.17,0.00,0.17,0.17,0.17,0.17,0.33,0.00,0.00,0.00,0.17,0.17,0.17,0.25,0.17,0.17,0.33,0.00,0.29,0.22,0.50,0.17,0.14,0.17,0.00,0.00,0.00,0.17,0.00,0.12,0.17,0.00,0.14,0.12
lion,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.17,0.25,0.25,0.00,0.50,0.20,0.25,0.25,0.17,0.00,0.14,0.00,0.22,0.00,0.00,0.29,0.33,0.17,0.00,0.00,0.00,0.14,0.25,0.00,0.00,0.29,0.25
tigre,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.20,0.00,1.00,0.12,0.00,0.17,0.20,0.00,0.29,0.22,0.00,0.00,0.14,0.00,0.00,0.00,0.17,0.00,0.14,0.12,0.00,0.14,0.43,0.25
éléphant,0.12,0.12,0.12,0.00,0.00,0.12,0.12,0.12,0.25,0.12,0.00,0.12,0.12,0.00,0.00,0.12,0.00,0.25,0.00,0.38,0.12,0.12,0.12,0.00,0.00,0.33,0.25,0.12,0.12,0.12,0.12,0.12,0.00,0.12,0.00,0.00,0.12,0.00,0.12,0.12
singe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.40,0.25,0.20,0.17,0.00,0.00,0.29,0.44,0.20,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.00,0.14,0.14,0.38
girafe,0.33,0.17,0.17,0.14,0.17,0.00,0.17,0.00,0.17,0.17,0.00,0.17,0.33,0.17,0.00,0.00,0.17,0.00,0.33,0.25,0.00,0.67,0.17,0.00,0.00,0.22,0.33,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.14,0.12,0.33,0.14,0.14,0.12
