,kot,pies,krowa,koń,świnia,owce,koza,kurczak,kaczka,gęś,królik,mysz,szczur,jeleń,niedźwiedź,wilk,lis,lew,tygrys,słoń,małpa,żyrafa,zebra,wielbłąd,kangur,wąż,żaba,ryba,wieloryb,delfin,orzeł,sowa,wrona,pszczoła,mrówka,motyl,pająk,żółw,rekin,pingwin
chat,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
chien,0.00,0.40,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.17,0.20,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.20,0.14
vache,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.14,0.33,0.00,0.00,0.00,0.17,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.20,0.00,0.00,0.00
cheval,0.00,0.17,0.17,0.00,0.00,0.00,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.17,0.10,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.17,0.12,0.00,0.00,0.17,0.17,0.12,0.00,0.00,0.17,0.17,0.12,0.00,0.17,0.00,0.00,0.17,0.00
cochon,0.17,0.00,0.00,0.17,0.00,0.17,0.17,0.14,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.17,0.25,0.00,0.17,0.00,0.00,0.17,0.14
mouton,0.33,0.00,0.00,0.17,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.17,0.12,0.17,0.50,0.00,0.00,0.17,0.14
chèvre,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
poulet,0.33,0.33,0.00,0.17,0.00,0.33,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.33,0.10,0.17,0.17,0.33,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.33,0.17,0.00,0.12,0.00,0.17,0.17,0.00,0.00,0.14
canard,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.12,0.33,0.00,0.33,0.17,0.12,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.14
oie,0.00,0.50,0.20,0.00,0.17,0.50,0.25,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.20,0.25,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.17,0.40,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.20,0.14
lapin,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.10,0.00,0.40,0.20,0.00,0.00,0.20,0.00,0.00,0.12,0.17,0.00,0.20,0.00,0.12,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.40,0.29
souris,0.17,0.17,0.00,0.17,0.17,0.17,0.17,0.14,0.00,0.00,0.17,0.00,0.17,0.00,0.10,0.00,0.33,0.00,0.33,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.33,0.00,0.12,0.00,0.17,0.00,0.00,0.17,0.14
rat,0.33,0.00,0.20,0.00,0.00,0.00,0.00,0.29,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.20,0.33,0.20,0.00,0.17,0.00,0.25,0.25,0.12,0.00,0.20,0.00,0.20,0.00,0.17,0.20,0.20,0.00,0.20,0.00
cerf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.00,0.00,0.00,0.17,0.20,0.10,0.00,0.00,0.25,0.17,0.00,0.00,0.33,0.40,0.12,0.00,0.00,0.00,0.00,0.25,0.33,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.20,0.00
ours,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.29,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.25,0.00,0.33,0.00,0.00,0.17,0.20,0.00,0.17,0.00,0.00,0.00,0.12,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00
loup,0.25,0.00,0.20,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.20,0.00,0.00,0.12,0.17,0.00,0.00,0.00,0.25,0.17,0.00,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.00
renard,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.33,0.25,0.17,0.00,0.17,0.33,0.25,0.17,0.00,0.17,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.14
lion,0.25,0.25,0.20,0.25,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.10,0.25,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.25,0.33,0.00,0.00,0.40,0.12,0.00,0.00,0.00,0.00,0.20,0.29
tigre,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.00,0.50,0.00,0.00,0.00,0.20,0.12,0.17,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
éléphant,0.12,0.12,0.12,0.00,0.12,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.25,0.12,0.12,0.00,0.00,0.00,0.12,0.12,0.00,0.12,0.00,0.12,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.12
singe,0.00,0.20,0.00,0.00,0.33,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.20,0.20,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.12,0.33,0.00,0.00,0.00,0.12,0.00,0.00,0.20,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.43
girafe,0.00,0.17,0.17,0.00,0.00,0.17,0.17,0.14,0.00,0.17,0.00,0.00,0.00,0.00,0.20,0.17,0.17,0.00,0.00,0.00,0.00,0.50,0.17,0.12,0.00,0.00,0.17,0.17,0.12,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.14
zèbre,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.10,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.60,0.12,0.00,0.00,0.20,0.20,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
chameau,0.00,0.14,0.14,0.00,0.14,0.14,0.14,0.14,0.14,0.00,0.00,0.14,0.00,0.14,0.10,0.00,0.00,0.14,0.00,0.00,0.29,0.14,0.14,0.00,0.14,0.00,0.29,0.14,0.00,0.00,0.14,0.14,0.14,0.00,0.14,0.00,0.14,0.00,0.00,0.00
kangourou,0.22,0.00,0.22,0.22,0.00,0.11,0.22,0.11,0.22,0.11,0.11,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.22,0.11,0.11,0.00,0.11,0.00,0.67,0.00,0.11,0.00,0.22,0.00,0.11,0.11,0.11,0.00,0.00,0.11,0.11,0.00,0.00,0.22
serpent,0.14,0.14,0.14,0.00,0.00,0.14,0.00,0.14,0.00,0.00,0.14,0.00,0.14,0.29,0.20,0.00,0.00,0.14,0.00,0.14,0.14,0.14,0.14,0.12,0.00,0.00,0.00,0.14,0.12,0.29,0.29,0.14,0.29,0.12,0.14,0.00,0.00,0.00,0.29,0.00
grenouille,0.10,0.10,0.20,0.10,0.20,0.20,0.10,0.00,0.00,0.10,0.20,0.00,0.10,0.20,0.20,0.20,0.10,0.10,0.00,0.10,0.00,0.00,0.10,0.10,0.20,0.00,0.00,0.10,0.20,0.20,0.10,0.10,0.20,0.00,0.10,0.20,0.00,0.00,0.30,0.20
