,gato,perro,vaca,caballo,cerdo,oveja,cabra,pollo,pato,ganso,conejo,ratón,rata,ciervo,oso,lobo,zorro,león,tigre,elefante,mono,jirafa,cebra,camello,canguro,serpiente,rana,pez,ballena,delfín,águila,búho,cuervo,abeja,hormiga,mariposa,araña,tortuga,tiburón,pingüino
kot,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.25,0.00,0.17,0.20,0.25,0.00,0.00,0.25,0.20,0.00,0.00,0.12,0.25,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.00,0.29,0.00,0.00
pies,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.20,0.25,0.20,0.17,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.20,0.12,0.00,0.17,0.00,0.14,0.00,0.33,0.00,0.50,0.14,0.00,0.17,0.00,0.17,0.20,0.14,0.25,0.00,0.00,0.14,0.25
krowa,0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.20,0.20,0.00,0.00,0.00,0.12,0.20,0.33,0.20,0.00,0.00,0.11,0.40,0.00,0.14,0.00,0.17,0.00,0.00,0.20,0.29,0.38,0.40,0.29,0.00,0.00
koń,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.25,0.20,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.00,0.14,0.00,0.00
świnia,0.00,0.00,0.17,0.00,0.00,0.17,0.17,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.17,0.12,0.17,0.17,0.17,0.00,0.00,0.22,0.33,0.00,0.14,0.00,0.17,0.00,0.00,0.17,0.29,0.25,0.17,0.14,0.00,0.25
owce,0.00,0.00,0.25,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.25,0.00,0.20,0.00,0.20,0.12,0.00,0.00,0.00,0.14,0.00,0.11,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.00,0.00
koza,0.00,0.00,0.25,0.14,0.00,0.20,0.20,0.20,0.00,0.00,0.17,0.00,0.25,0.00,0.25,0.25,0.20,0.00,0.00,0.12,0.25,0.17,0.20,0.00,0.00,0.00,0.25,0.25,0.14,0.00,0.17,0.00,0.00,0.20,0.29,0.25,0.20,0.29,0.00,0.00
kurczak,0.00,0.14,0.29,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.14,0.29,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.29,0.14,0.00,0.00,0.11,0.29,0.14,0.00,0.00,0.14,0.00,0.14,0.14,0.14,0.12,0.29,0.14,0.00,0.00
kaczka,0.17,0.00,0.50,0.14,0.00,0.17,0.33,0.00,0.17,0.17,0.00,0.17,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.14,0.14,0.00,0.33,0.17,0.29,0.00,0.17,0.00,0.00,0.33,0.14,0.25,0.33,0.14,0.00,0.00
gęś,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
królik,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.11,0.17,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.17,0.14,0.00,0.12
mysz,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.14,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.25,0.00,0.00,0.00,0.00
szczur,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.29,0.11,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00
jeleń,0.00,0.20,0.00,0.14,0.20,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.20,0.00,0.25,0.00,0.17,0.20,0.29,0.00,0.22,0.00,0.20,0.29,0.33,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
niedźwiedź,0.00,0.10,0.00,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.20,0.20,0.00,0.10,0.10,0.00,0.00,0.20,0.00,0.10,0.10,0.10,0.10,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.10,0.20
wilk,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.14,0.00,0.11,0.00,0.00,0.14,0.17,0.33,0.00,0.00,0.00,0.14,0.12,0.00,0.00,0.14,0.12
lis,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.25,0.00,0.25,0.20,0.12,0.00,0.17,0.00,0.14,0.00,0.11,0.00,0.00,0.14,0.17,0.17,0.00,0.00,0.00,0.14,0.25,0.00,0.00,0.14,0.12
lew,0.00,0.20,0.00,0.14,0.20,0.20,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.25,0.00,0.50,0.00,0.25,0.00,0.00,0.20,0.14,0.00,0.11,0.00,0.33,0.29,0.17,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00
tygrys,0.17,0.17,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.50,0.00,0.00,0.00,0.17,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.12,0.00,0.14,0.29,0.12
słoń,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00
małpa,0.20,0.00,0.40,0.14,0.00,0.20,0.40,0.00,0.20,0.20,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.20,0.17,0.20,0.14,0.14,0.11,0.40,0.00,0.29,0.00,0.17,0.00,0.00,0.20,0.14,0.50,0.20,0.14,0.00,0.00
żyrafa,0.17,0.17,0.33,0.14,0.17,0.17,0.17,0.00,0.17,0.00,0.00,0.17,0.50,0.00,0.00,0.00,0.17,0.00,0.00,0.12,0.00,0.67,0.17,0.00,0.00,0.11,0.50,0.00,0.14,0.00,0.17,0.00,0.00,0.17,0.29,0.25,0.50,0.29,0.00,0.00
zebra,0.00,0.40,0.20,0.14,0.20,0.20,0.60,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.20,0.40,0.20,0.20,0.12,0.00,0.17,0.80,0.14,0.14,0.11,0.20,0.20,0.14,0.17,0.17,0.00,0.17,0.20,0.14,0.12,0.20,0.14,0.29,0.00
wielbłąd,0.00,0.12,0.00,0.00,0.12,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.12,0.00,0.12,0.12,0.12,0.00,0.12,0.25,0.12,0.00,0.00,0.00,0.12,0.12,0.25,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.12,0.12
kangur,0.17,0.00,0.17,0.14,0.00,0.00,0.17,0.00,0.17,0.33,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.17,0.00,0.00,0.14,0.71,0.00,0.33,0.00,0.14,0.00,0.00,0.00,0.00,0.17,0.00,0.12,0.17,0.14,0.14,0.25
wąż,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
żaba,0.25,0.00,0.50,0.43,0.00,0.20,0.60,0.00,0.25,0.20,0.00,0.20,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.33,0.40,0.14,0.14,0.00,0.50,0.00,0.29,0.00,0.17,0.00,0.00,0.40,0.14,0.25,0.40,0.14,0.14,0.00
ryba,0.00,0.00,0.25,0.29,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.20,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.33,0.40,0.00,0.00,0.11,0.50,0.00,0.14,0.00,0.17,0.00,0.00,0.20,0.29,0.25,0.40,0.29,0.14,0.00
wieloryb,0.12,0.25,0.00,0.00,0.25,0.12,0.12,0.25,0.12,0.12,0.12,0.00,0.00,0.38,0.12,0.25,0.25,0.12,0.25,0.12,0.12,0.12,0.25,0.12,0.12,0.00,0.00,0.12,0.12,0.25,0.00,0.12,0.25,0.12,0.00,0.00,0.00,0.00,0.25,0.12
