,escuela,universidad,biblioteca,librería,hospital,clínica,farmacia,comisaría de policía,estación de bomberos,ayuntamiento,palacio de justicia,oficina de correos,banco,centro comercial,supermercado,tienda de comestibles,panadería,restaurante,cafetería,hotel,albergue,edificio de apartamentos,edificio de oficinas,fábrica,depósito,museo,galería de arte,teatro,cine,sala de conciertos,estadio,polideportivo,gimnasia,piscina,parque,zoo,acuario,jardín botánico,iglesia,catedral,mezquita,sinagoga,templo,centro comunitario,centro cultural,centro de convenciones,estación de tren,estación de autobuses,estación de metro,aeropuerto,garaje de estacionamiento,gasolinera,lavado de autos,taller de reparación de automóviles,lavadero,tintorería,peluquería,peluquería,salón de belleza,spa,guardería,kindergarten,patio de juegos,centro juvenil,hogar de ancianos,refugio,hotel,centro de información turística
school,0.29,0.00,0.10,0.00,0.25,0.00,0.00,0.15,0.20,0.00,0.11,0.17,0.17,0.19,0.17,0.10,0.00,0.09,0.00,0.33,0.00,0.12,0.15,0.00,0.00,0.17,0.00,0.00,0.17,0.17,0.14,0.08,0.00,0.14,0.00,0.33,0.14,0.07,0.00,0.12,0.00,0.25,0.00,0.11,0.13,0.09,0.12,0.14,0.12,0.10,0.12,0.10,0.13,0.09,0.00,0.10,0.00,0.00,0.12,0.17,0.00,0.00,0.13,0.14,0.12,0.00,0.33,0.06
university,0.10,0.73,0.00,0.20,0.10,0.10,0.10,0.15,0.10,0.25,0.21,0.17,0.00,0.25,0.25,0.19,0.20,0.18,0.10,0.10,0.20,0.17,0.15,0.20,0.30,0.10,0.13,0.10,0.20,0.17,0.10,0.31,0.30,0.20,0.10,0.00,0.20,0.13,0.30,0.10,0.20,0.10,0.10,0.17,0.13,0.18,0.12,0.14,0.18,0.10,0.16,0.00,0.13,0.11,0.10,0.10,0.00,0.00,0.12,0.10,0.20,0.25,0.13,0.14,0.12,0.10,0.10,0.16
library,0.00,0.18,0.20,0.62,0.00,0.00,0.12,0.15,0.15,0.08,0.11,0.17,0.14,0.12,0.17,0.10,0.11,0.18,0.11,0.00,0.25,0.12,0.05,0.29,0.00,0.00,0.20,0.14,0.14,0.17,0.00,0.23,0.25,0.14,0.14,0.00,0.14,0.07,0.00,0.12,0.00,0.12,0.00,0.17,0.13,0.05,0.12,0.10,0.12,0.10,0.08,0.20,0.13,0.11,0.25,0.30,0.20,0.20,0.12,0.14,0.22,0.33,0.07,0.07,0.12,0.00,0.00,0.13
bookstore,0.00,0.09,0.20,0.00,0.22,0.00,0.00,0.15,0.10,0.08,0.16,0.17,0.22,0.12,0.08,0.19,0.00,0.18,0.11,0.22,0.11,0.12,0.10,0.00,0.22,0.22,0.13,0.22,0.11,0.11,0.11,0.23,0.00,0.11,0.11,0.22,0.11,0.07,0.11,0.00,0.00,0.11,0.11,0.22,0.20,0.18,0.12,0.14,0.06,0.10,0.16,0.20,0.13,0.09,0.11,0.20,0.10,0.10,0.06,0.11,0.00,0.17,0.13,0.07,0.06,0.11,0.22,0.13
hospital,0.12,0.18,0.20,0.00,1.00,0.25,0.00,0.20,0.05,0.08,0.16,0.11,0.00,0.19,0.08,0.14,0.00,0.18,0.00,0.50,0.00,0.17,0.15,0.25,0.12,0.12,0.07,0.12,0.12,0.17,0.12,0.23,0.00,0.38,0.00,0.12,0.00,0.07,0.12,0.25,0.25,0.00,0.12,0.22,0.27,0.09,0.12,0.10,0.12,0.10,0.12,0.20,0.13,0.11,0.00,0.10,0.00,0.00,0.06,0.38,0.00,0.08,0.07,0.14,0.18,0.00,0.50,0.10
clinic,0.00,0.18,0.30,0.12,0.12,0.71,0.12,0.20,0.10,0.17,0.21,0.17,0.17,0.12,0.08,0.10,0.00,0.09,0.11,0.00,0.12,0.12,0.15,0.29,0.12,0.00,0.07,0.00,0.50,0.17,0.14,0.23,0.25,0.14,0.00,0.00,0.29,0.20,0.29,0.12,0.12,0.12,0.00,0.17,0.13,0.14,0.12,0.10,0.12,0.00,0.12,0.30,0.00,0.11,0.00,0.10,0.10,0.10,0.12,0.00,0.00,0.08,0.07,0.21,0.12,0.14,0.00,0.16
pharmacy,0.00,0.09,0.10,0.12,0.00,0.12,0.50,0.20,0.10,0.08,0.16,0.11,0.25,0.19,0.25,0.10,0.22,0.18,0.00,0.12,0.00,0.12,0.05,0.25,0.00,0.00,0.13,0.12,0.00,0.11,0.00,0.15,0.00,0.12,0.38,0.00,0.12,0.13,0.00,0.00,0.00,0.00,0.12,0.17,0.13,0.09,0.06,0.10,0.12,0.00,0.12,0.00,0.13,0.09,0.00,0.10,0.10,0.10,0.00,0.12,0.22,0.17,0.07,0.07,0.24,0.00,0.12,0.13
police station,0.14,0.21,0.14,0.21,0.21,0.14,0.14,0.20,0.20,0.14,0.37,0.28,0.14,0.12,0.14,0.19,0.21,0.21,0.14,0.14,0.14,0.29,0.25,0.14,0.21,0.14,0.13,0.29,0.14,0.28,0.43,0.50,0.21,0.29,0.14,0.14,0.29,0.20,0.29,0.14,0.14,0.14,0.14,0.22,0.13,0.23,0.25,0.19,0.18,0.14,0.32,0.21,0.20,0.17,0.14,0.07,0.21,0.21,0.19,0.14,0.14,0.21,0.27,0.07,0.24,0.21,0.14,0.19
fire station,0.17,0.17,0.17,0.25,0.17,0.08,0.33,0.20,0.20,0.17,0.26,0.28,0.17,0.19,0.08,0.24,0.00,0.33,0.17,0.08,0.08,0.29,0.25,0.17,0.25,0.17,0.13,0.33,0.17,0.22,0.50,0.23,0.25,0.25,0.08,0.08,0.25,0.27,0.25,0.17,0.17,0.17,0.17,0.28,0.20,0.27,0.25,0.19,0.18,0.25,0.36,0.00,0.20,0.17,0.08,0.08,0.08,0.08,0.12,0.17,0.08,0.25,0.20,0.14,0.24,0.33,0.08,0.19
city hall,0.11,0.09,0.10,0.11,0.22,0.22,0.00,0.20,0.15,0.08,0.16,0.17,0.00,0.25,0.08,0.14,0.00,0.18,0.11,0.22,0.00,0.17,0.15,0.11,0.00,0.00,0.13,0.11,0.22,0.06,0.11,0.08,0.11,0.22,0.00,0.00,0.00,0.07,0.11,0.44,0.00,0.11,0.22,0.22,0.33,0.14,0.19,0.19,0.18,0.00,0.08,0.00,0.13,0.14,0.00,0.20,0.00,0.00,0.19,0.11,0.00,0.17,0.13,0.29,0.12,0.00,0.22,0.13
