,szkoła,uniwersytet,biblioteka,księgarnia,szpital,klinika,apteka,posterunek policji,straż pożarna,ratusz,gmach sądu,poczta,bank,centrum handlowe,supermarket,sklep spożywczy,piekarnia,restauracja,kawiarnia,hotel,schronisko,budynek mieszkalny,budynek biurowy,fabryka,magazyn,muzeum,galeria sztuki,teatr,kino,sala koncertowa,stadion,centrum sportu,sala gimnastyczna,basen,park,zoo,akwarium,ogród botaniczny,kościół,katedra,meczet,synagoga,świątynia,centrum społeczności,centrum kultury,centrum kongresowe,stacja kolejowa,dworzec autobusowy,stacja metra,lotnisko,garaż parkingowy,stacja benzynowa,myjnia samochodowa,warsztat samochodowy,pranie,pralnia chemiczna,salon fryzjerski,fryzjer,salon piękności,spa,centrum opieki dziennej,przedszkole,plac gier i zabaw,centrum młodzieży,dom opieki dla osób starszych,schronienie,hotel,centrum informacji turystycznej
école,0.17,0.09,0.20,0.00,0.00,0.00,0.00,0.11,0.08,0.00,0.10,0.17,0.00,0.12,0.09,0.07,0.00,0.00,0.00,0.20,0.20,0.06,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.13,0.00,0.07,0.06,0.00,0.00,0.20,0.00,0.06,0.14,0.00,0.17,0.12,0.00,0.10,0.07,0.11,0.27,0.11,0.17,0.00,0.06,0.12,0.11,0.10,0.17,0.12,0.12,0.14,0.07,0.00,0.09,0.27,0.12,0.12,0.07,0.27,0.20,0.06
université,0.00,0.64,0.00,0.20,0.10,0.20,0.10,0.17,0.00,0.10,0.10,0.10,0.00,0.06,0.18,0.07,0.20,0.09,0.20,0.10,0.00,0.17,0.20,0.10,0.00,0.10,0.21,0.20,0.10,0.13,0.10,0.21,0.12,0.10,0.10,0.00,0.20,0.06,0.10,0.10,0.20,0.00,0.20,0.10,0.13,0.17,0.00,0.11,0.08,0.10,0.12,0.06,0.11,0.05,0.10,0.18,0.19,0.10,0.13,0.10,0.13,0.09,0.18,0.12,0.10,0.09,0.10,0.16
bibliothèque,0.08,0.08,0.58,0.08,0.17,0.17,0.08,0.00,0.00,0.08,0.08,0.08,0.08,0.12,0.00,0.07,0.08,0.00,0.08,0.17,0.08,0.11,0.13,0.08,0.00,0.08,0.14,0.08,0.17,0.07,0.17,0.00,0.12,0.08,0.00,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.17,0.05,0.07,0.11,0.07,0.06,0.00,0.25,0.00,0.00,0.17,0.10,0.17,0.18,0.06,0.00,0.07,0.00,0.13,0.08,0.06,0.06,0.14,0.17,0.17,0.13
librairie,0.00,0.18,0.30,0.30,0.11,0.22,0.00,0.11,0.15,0.22,0.00,0.00,0.22,0.19,0.27,0.07,0.33,0.18,0.22,0.00,0.20,0.11,0.13,0.22,0.11,0.00,0.14,0.22,0.11,0.13,0.11,0.14,0.18,0.22,0.22,0.00,0.22,0.19,0.11,0.11,0.00,0.11,0.11,0.10,0.07,0.17,0.13,0.11,0.08,0.22,0.19,0.06,0.11,0.05,0.44,0.18,0.19,0.11,0.13,0.11,0.17,0.09,0.24,0.18,0.10,0.36,0.00,0.19
hôpital,0.14,0.09,0.20,0.10,0.71,0.14,0.14,0.11,0.15,0.00,0.00,0.29,0.00,0.12,0.18,0.07,0.11,0.09,0.11,0.43,0.20,0.17,0.07,0.00,0.00,0.00,0.14,0.14,0.14,0.07,0.00,0.07,0.12,0.00,0.14,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.11,0.05,0.07,0.00,0.13,0.06,0.08,0.12,0.12,0.06,0.11,0.10,0.00,0.12,0.00,0.00,0.13,0.29,0.09,0.09,0.12,0.06,0.14,0.18,0.43,0.06
clinique,0.00,0.18,0.20,0.10,0.12,0.50,0.00,0.11,0.00,0.00,0.10,0.00,0.12,0.19,0.09,0.07,0.00,0.00,0.11,0.00,0.30,0.11,0.13,0.00,0.00,0.12,0.21,0.00,0.25,0.13,0.12,0.14,0.18,0.00,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.11,0.15,0.13,0.17,0.13,0.11,0.08,0.25,0.12,0.12,0.11,0.00,0.38,0.18,0.19,0.00,0.20,0.00,0.17,0.09,0.18,0.18,0.07,0.36,0.00,0.19
pharmacie,0.11,0.09,0.00,0.20,0.11,0.00,0.11,0.17,0.15,0.11,0.10,0.22,0.11,0.25,0.36,0.13,0.22,0.27,0.22,0.11,0.10,0.11,0.07,0.11,0.22,0.00,0.14,0.11,0.00,0.13,0.11,0.14,0.24,0.11,0.33,0.00,0.22,0.12,0.11,0.11,0.22,0.00,0.11,0.15,0.13,0.17,0.20,0.11,0.25,0.00,0.19,0.19,0.17,0.15,0.56,0.29,0.06,0.11,0.13,0.11,0.17,0.18,0.24,0.24,0.10,0.27,0.11,0.19
poste de police,0.13,0.07,0.07,0.13,0.13,0.07,0.13,0.67,0.27,0.07,0.07,0.13,0.00,0.19,0.13,0.13,0.20,0.13,0.07,0.27,0.13,0.17,0.07,0.00,0.00,0.07,0.13,0.13,0.07,0.00,0.27,0.20,0.06,0.13,0.07,0.13,0.07,0.19,0.13,0.20,0.13,0.13,0.07,0.20,0.13,0.17,0.20,0.17,0.20,0.20,0.06,0.12,0.11,0.20,0.20,0.18,0.06,0.07,0.13,0.13,0.22,0.40,0.18,0.18,0.21,0.20,0.27,0.16
caserne de pompiers,0.11,0.16,0.11,0.11,0.16,0.11,0.16,0.37,0.26,0.05,0.05,0.11,0.11,0.21,0.16,0.21,0.11,0.11,0.16,0.11,0.16,0.11,0.16,0.11,0.05,0.11,0.26,0.11,0.11,0.16,0.16,0.26,0.05,0.21,0.11,0.05,0.11,0.16,0.11,0.21,0.11,0.16,0.05,0.15,0.26,0.21,0.16,0.16,0.21,0.11,0.16,0.11,0.05,0.15,0.16,0.11,0.21,0.16,0.21,0.11,0.26,0.26,0.11,0.32,0.21,0.21,0.11,0.23
l'hôtel de ville,0.00,0.06,0.06,0.06,0.12,0.12,0.12,0.22,0.06,0.06,0.06,0.06,0.00,0.12,0.06,0.06,0.12,0.06,0.06,0.25,0.12,0.22,0.12,0.00,0.00,0.06,0.06,0.12,0.06,0.06,0.19,0.06,0.00,0.06,0.00,0.00,0.06,0.00,0.06,0.19,0.12,0.00,0.12,0.10,0.06,0.11,0.06,0.11,0.12,0.19,0.00,0.06,0.00,0.10,0.12,0.12,0.00,0.06,0.00,0.00,0.22,0.25,0.18,0.12,0.14,0.25,0.25,0.10
tribunal,0.12,0.09,0.10,0.20,0.25,0.25,0.12,0.17,0.23,0.25,0.00,0.12,0.25,0.25,0.09,0.00,0.11,0.18,0.22,0.12,0.10,0.17,0.13,0.12,0.00,0.12,0.14,0.12,0.25,0.07,0.12,0.14,0.12,0.12,0.00,0.00,0.00,0.19,0.00,0.12,0.00,0.00,0.22,0.15,0.20,0.17,0.13,0.17,0.08,0.00,0.12,0.19,0.11,0.10,0.25,0.18,0.06,0.12,0.13,0.12,0.17,0.18,0.18,0.12,0.10,0.18,0.12,0.16
bureau de poste,0.07,0.20,0.13,0.00,0.07,0.00,0.13,0.28,0.20,0.20,0.13,0.13,0.13,0.19,0.20,0.07,0.07,0.13,0.07,0.13,0.07,0.22,0.20,0.07,0.07,0.20,0.07,0.20,0.07,0.07,0.20,0.27,0.12,0.20,0.07,0.07,0.07,0.06,0.00,0.13,0.20,0.13,0.00,0.20,0.07,0.22,0.07,0.22,0.13,0.07,0.12,0.12,0.11,0.20,0.20,0.12,0.06,0.13,0.07,0.07,0.22,0.27,0.12,0.12,0.21,0.13,0.13,0.19
banque,0.00,0.09,0.20,0.10,0.00,0.14,0.00,0.11,0.08,0.17,0.10,0.00,0.50,0.19,0.09,0.00,0.11,0.09,0.11,0.00,0.10,0.17,0.20,0.14,0.14,0.17,0.14,0.00,0.17,0.13,0.14,0.14,0.12,0.33,0.17,0.00,0.25,0.19,0.00,0.14,0.00,0.12,0.00,0.15,0.13,0.17,0.13,0.11,0.17,0.12,0.12,0.12,0.06,0.05,0.33,0.18,0.19,0.14,0.13,0.00,0.13,0.09,0.12,0.18,0.07,0.18,0.00,0.10
