,escuela,universidad,biblioteca,librería,hospital,clínica,farmacia,comisaría de policía,estación de bomberos,ayuntamiento,palacio de justicia,oficina de correos,banco,centro comercial,supermercado,tienda de comestibles,panadería,restaurante,cafetería,hotel,albergue,edificio de apartamentos,edificio de oficinas,fábrica,depósito,museo,galería de arte,teatro,cine,sala de conciertos,estadio,polideportivo,gimnasia,piscina,parque,zoo,acuario,jardín botánico,iglesia,catedral,mezquita,sinagoga,templo,centro comunitario,centro cultural,centro de convenciones,estación de tren,estación de autobuses,estación de metro,aeropuerto,garaje de estacionamiento,gasolinera,lavado de autos,taller de reparación de automóviles,lavadero,tintorería,peluquería,peluquería,salón de belleza,spa,guardería,kindergarten,patio de juegos,centro juvenil,hogar de ancianos,refugio,hotel,centro de información turística
szkoła,0.29,0.09,0.20,0.12,0.12,0.14,0.12,0.15,0.10,0.08,0.11,0.06,0.00,0.12,0.17,0.05,0.11,0.18,0.11,0.00,0.00,0.08,0.10,0.14,0.00,0.00,0.07,0.00,0.00,0.11,0.14,0.08,0.12,0.14,0.00,0.33,0.00,0.07,0.14,0.12,0.25,0.38,0.00,0.11,0.13,0.05,0.06,0.10,0.06,0.10,0.12,0.20,0.13,0.03,0.00,0.20,0.10,0.10,0.12,0.33,0.11,0.08,0.07,0.07,0.06,0.00,0.00,0.06
uniwersytet,0.18,0.55,0.18,0.18,0.09,0.00,0.09,0.15,0.15,0.17,0.16,0.17,0.00,0.12,0.17,0.19,0.18,0.18,0.09,0.18,0.27,0.21,0.10,0.09,0.18,0.18,0.20,0.18,0.18,0.17,0.09,0.23,0.18,0.18,0.18,0.00,0.09,0.07,0.18,0.09,0.09,0.09,0.09,0.11,0.13,0.14,0.19,0.19,0.18,0.18,0.16,0.00,0.13,0.11,0.09,0.09,0.00,0.00,0.19,0.09,0.18,0.33,0.13,0.14,0.06,0.09,0.18,0.16
biblioteka,0.20,0.09,0.90,0.30,0.20,0.20,0.10,0.15,0.15,0.08,0.21,0.17,0.20,0.19,0.08,0.14,0.10,0.00,0.20,0.30,0.20,0.21,0.25,0.30,0.10,0.10,0.13,0.10,0.20,0.11,0.10,0.23,0.20,0.30,0.10,0.10,0.10,0.13,0.30,0.10,0.20,0.30,0.10,0.11,0.20,0.09,0.12,0.14,0.12,0.00,0.12,0.30,0.20,0.11,0.10,0.30,0.20,0.20,0.12,0.10,0.10,0.17,0.13,0.14,0.12,0.10,0.30,0.13
księgarnia,0.20,0.27,0.10,0.30,0.10,0.20,0.30,0.20,0.10,0.17,0.16,0.17,0.20,0.19,0.08,0.10,0.20,0.18,0.20,0.00,0.10,0.17,0.15,0.20,0.00,0.00,0.13,0.10,0.20,0.11,0.30,0.23,0.40,0.30,0.20,0.00,0.30,0.13,0.40,0.10,0.10,0.40,0.00,0.17,0.07,0.09,0.12,0.14,0.12,0.00,0.16,0.10,0.07,0.11,0.10,0.20,0.10,0.10,0.06,0.20,0.20,0.33,0.07,0.14,0.24,0.20,0.00,0.16
szpital,0.14,0.18,0.20,0.00,0.62,0.14,0.00,0.15,0.10,0.17,0.11,0.11,0.00,0.12,0.25,0.10,0.00,0.18,0.11,0.29,0.00,0.12,0.10,0.14,0.25,0.00,0.07,0.14,0.14,0.17,0.00,0.15,0.00,0.14,0.00,0.14,0.00,0.07,0.00,0.25,0.38,0.12,0.00,0.17,0.20,0.05,0.19,0.14,0.18,0.10,0.12,0.20,0.07,0.11,0.00,0.00,0.00,0.00,0.12,0.43,0.00,0.08,0.07,0.07,0.06,0.00,0.29,0.06
klinika,0.14,0.27,0.30,0.25,0.25,0.57,0.12,0.15,0.10,0.17,0.21,0.17,0.14,0.06,0.08,0.10,0.11,0.09,0.11,0.00,0.12,0.12,0.15,0.29,0.12,0.00,0.13,0.00,0.29,0.17,0.00,0.23,0.25,0.29,0.00,0.00,0.00,0.13,0.29,0.12,0.25,0.25,0.00,0.17,0.07,0.09,0.12,0.14,0.12,0.00,0.12,0.40,0.07,0.11,0.00,0.20,0.20,0.20,0.19,0.14,0.11,0.25,0.07,0.07,0.12,0.00,0.00,0.13
apteka,0.29,0.18,0.30,0.25,0.12,0.14,0.25,0.15,0.10,0.25,0.16,0.11,0.00,0.19,0.25,0.10,0.33,0.18,0.44,0.33,0.25,0.17,0.10,0.14,0.12,0.17,0.20,0.00,0.17,0.11,0.14,0.15,0.12,0.14,0.00,0.00,0.14,0.13,0.29,0.38,0.12,0.12,0.00,0.11,0.13,0.09,0.12,0.14,0.12,0.30,0.12,0.30,0.20,0.11,0.25,0.30,0.20,0.20,0.19,0.33,0.33,0.17,0.13,0.14,0.18,0.00,0.33,0.10
posterunek policji,0.22,0.17,0.11,0.11,0.22,0.17,0.11,0.40,0.20,0.11,0.21,0.11,0.11,0.17,0.17,0.14,0.11,0.17,0.11,0.22,0.17,0.08,0.15,0.17,0.17,0.17,0.17,0.17,0.11,0.11,0.17,0.28,0.11,0.17,0.17,0.11,0.11,0.17,0.11,0.17,0.11,0.17,0.22,0.11,0.17,0.18,0.17,0.19,0.11,0.17,0.16,0.17,0.11,0.17,0.11,0.17,0.17,0.17,0.17,0.11,0.11,0.11,0.22,0.17,0.22,0.17,0.22,0.16
straż pożarna,0.08,0.08,0.15,0.15,0.15,0.08,0.23,0.35,0.25,0.00,0.16,0.17,0.15,0.31,0.15,0.14,0.23,0.15,0.23,0.08,0.08,0.17,0.20,0.08,0.08,0.08,0.27,0.23,0.08,0.28,0.23,0.15,0.15,0.23,0.15,0.08,0.23,0.20,0.08,0.15,0.08,0.31,0.15,0.28,0.20,0.23,0.25,0.19,0.18,0.23,0.24,0.23,0.20,0.17,0.15,0.31,0.15,0.15,0.19,0.23,0.23,0.08,0.07,0.14,0.24,0.08,0.08,0.23
ratusz,0.14,0.09,0.10,0.00,0.00,0.00,0.12,0.10,0.05,0.08,0.16,0.06,0.17,0.06,0.08,0.10,0.11,0.27,0.22,0.17,0.00,0.12,0.00,0.00,0.12,0.17,0.13,0.17,0.00,0.11,0.14,0.08,0.12,0.00,0.17,0.00,0.14,0.13,0.14,0.25,0.12,0.12,0.00,0.11,0.20,0.05,0.12,0.19,0.06,0.20,0.12,0.10,0.13,0.09,0.12,0.10,0.10,0.10,0.12,0.00,0.11,0.17,0.20,0.14,0.12,0.29,0.17,0.16
