,manzana,pera,banana,naranja,limón,cal,uva,cereza,fresa,frambuesa,arándano,zarzamora,sandía,melón,durazno,ciruela,albaricoque,piña,mango,kiwi,papaya,granada,pomelo,higo,fecha,coco,palta,mandarina,arándano,maracuyá,guayaba,lychee,caqui,nectarina,grosella,aceituna
apple,0.14,0.20,0.17,0.14,0.00,0.20,0.00,0.00,0.00,0.22,0.12,0.11,0.17,0.00,0.00,0.14,0.18,0.20,0.00,0.00,0.33,0.14,0.17,0.00,0.00,0.00,0.20,0.11,0.12,0.12,0.14,0.17,0.00,0.11,0.12,0.12
pear,0.14,0.50,0.17,0.14,0.00,0.25,0.25,0.17,0.20,0.11,0.12,0.22,0.00,0.20,0.14,0.14,0.18,0.25,0.00,0.00,0.33,0.14,0.33,0.00,0.20,0.00,0.20,0.22,0.12,0.12,0.14,0.00,0.00,0.33,0.12,0.12
banana,0.71,0.17,1.00,0.57,0.17,0.17,0.17,0.17,0.17,0.22,0.38,0.33,0.50,0.17,0.29,0.14,0.18,0.17,0.33,0.00,0.50,0.57,0.00,0.00,0.17,0.00,0.33,0.56,0.38,0.25,0.43,0.00,0.17,0.33,0.12,0.25
orange,0.14,0.17,0.17,0.43,0.00,0.17,0.17,0.00,0.17,0.33,0.25,0.22,0.17,0.00,0.29,0.14,0.18,0.00,0.50,0.00,0.00,0.43,0.00,0.17,0.00,0.00,0.17,0.11,0.25,0.25,0.14,0.17,0.17,0.11,0.12,0.00
lemon,0.14,0.20,0.17,0.14,0.60,0.00,0.00,0.17,0.00,0.11,0.12,0.22,0.00,0.40,0.14,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.20,0.20,0.00,0.11,0.12,0.00,0.00,0.17,0.00,0.22,0.12,0.25
lime,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.17,0.00,0.22,0.00,0.11,0.00,0.00,0.00,0.29,0.27,0.25,0.00,0.25,0.00,0.00,0.33,0.25,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.33,0.00,0.11,0.12,0.12
grape,0.14,0.20,0.17,0.29,0.00,0.20,0.20,0.17,0.20,0.33,0.25,0.22,0.00,0.00,0.29,0.14,0.18,0.00,0.00,0.00,0.17,0.43,0.00,0.00,0.00,0.00,0.00,0.11,0.25,0.25,0.29,0.17,0.00,0.11,0.38,0.00
cherry,0.00,0.33,0.00,0.00,0.00,0.17,0.00,0.33,0.17,0.00,0.00,0.11,0.00,0.17,0.00,0.14,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.00,0.11,0.00,0.12,0.00,0.17,0.17,0.22,0.12,0.12
strawberry,0.10,0.20,0.10,0.20,0.00,0.10,0.10,0.20,0.20,0.30,0.10,0.20,0.20,0.10,0.20,0.20,0.09,0.10,0.10,0.10,0.10,0.20,0.10,0.00,0.10,0.00,0.10,0.10,0.10,0.20,0.10,0.10,0.10,0.00,0.20,0.00
raspberry,0.11,0.33,0.11,0.11,0.00,0.11,0.00,0.11,0.11,0.22,0.11,0.22,0.11,0.11,0.00,0.11,0.09,0.11,0.11,0.00,0.22,0.11,0.11,0.00,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.22,0.11
blueberry,0.00,0.22,0.11,0.00,0.11,0.00,0.11,0.22,0.11,0.11,0.00,0.11,0.00,0.11,0.11,0.11,0.09,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.11,0.22,0.00,0.00,0.11,0.11
blackberry,0.10,0.20,0.20,0.10,0.10,0.10,0.10,0.20,0.10,0.20,0.10,0.20,0.10,0.10,0.00,0.10,0.18,0.00,0.10,0.10,0.10,0.10,0.10,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.30,0.10,0.10,0.10,0.20
watermelon,0.10,0.20,0.10,0.20,0.20,0.20,0.00,0.30,0.20,0.10,0.20,0.20,0.10,0.40,0.20,0.30,0.09,0.00,0.20,0.00,0.10,0.10,0.40,0.10,0.10,0.10,0.20,0.10,0.20,0.20,0.00,0.10,0.10,0.10,0.20,0.20
melon,0.29,0.20,0.17,0.14,0.20,0.20,0.00,0.17,0.00,0.11,0.12,0.11,0.00,0.80,0.14,0.14,0.09,0.00,0.20,0.00,0.00,0.00,0.50,0.20,0.20,0.20,0.20,0.22,0.12,0.12,0.00,0.00,0.00,0.22,0.25,0.25
peach,0.14,0.40,0.17,0.14,0.00,0.20,0.20,0.17,0.00,0.11,0.12,0.11,0.00,0.20,0.14,0.00,0.18,0.20,0.00,0.00,0.33,0.14,0.17,0.00,0.40,0.20,0.20,0.11,0.12,0.25,0.14,0.17,0.00,0.22,0.12,0.12
plum,0.00,0.25,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.00,0.20,0.00,0.14,0.18,0.25,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.40,0.00,0.00,0.12,0.00,0.00,0.20,0.00,0.12,0.12
apricot,0.00,0.14,0.00,0.14,0.14,0.14,0.00,0.14,0.14,0.11,0.12,0.22,0.00,0.00,0.14,0.14,0.45,0.29,0.14,0.14,0.14,0.00,0.14,0.29,0.14,0.29,0.14,0.22,0.12,0.25,0.00,0.00,0.14,0.11,0.00,0.25
pineapple,0.22,0.22,0.22,0.11,0.11,0.22,0.11,0.11,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.22,0.09,0.33,0.11,0.11,0.33,0.11,0.33,0.11,0.11,0.00,0.22,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
mango,0.43,0.00,0.33,0.29,0.00,0.20,0.00,0.00,0.00,0.11,0.25,0.22,0.33,0.20,0.29,0.00,0.18,0.00,1.00,0.00,0.17,0.29,0.17,0.40,0.00,0.20,0.20,0.33,0.25,0.25,0.14,0.00,0.20,0.11,0.00,0.00
kiwi,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.25,0.00,1.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.20,0.11,0.00,0.12
papaya,0.43,0.33,0.50,0.43,0.00,0.17,0.17,0.17,0.17,0.22,0.12,0.33,0.33,0.00,0.14,0.14,0.09,0.33,0.17,0.00,1.00,0.43,0.17,0.00,0.17,0.00,0.50,0.33,0.12,0.38,0.43,0.00,0.17,0.22,0.12,0.12
pomegranate,0.36,0.36,0.27,0.27,0.18,0.09,0.09,0.27,0.18,0.09,0.18,0.09,0.18,0.27,0.18,0.09,0.09,0.18,0.27,0.00,0.27,0.45,0.36,0.09,0.18,0.09,0.27,0.27,0.18,0.27,0.27,0.09,0.09,0.27,0.18,0.27
grapefruit,0.10,0.30,0.10,0.10,0.00,0.10,0.10,0.20,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.10,0.10,0.10,0.20,0.30,0.10,0.00,0.10,0.00,0.10,0.20,0.10,0.20,0.20,0.10,0.30,0.10,0.30,0.30
fig,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.11,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.25,0.20,0.25,0.00,0.00,0.00,0.50,0.20,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.12
date,0.14,0.00,0.17,0.14,0.00,0.25,0.00,0.17,0.00,0.22,0.25,0.11,0.17,0.00,0.29,0.14,0.18,0.00,0.20,0.00,0.17,0.14,0.17,0.00,0.00,0.00,0.40,0.22,0.25,0.12,0.14,0.17,0.20,0.11,0.12,0.12
coconut,0.00,0.00,0.14,0.14,0.14,0.14,0.00,0.14,0.00,0.11,0.00,0.00,0.00,0.14,0.00,0.14,0.27,0.00,0.14,0.00,0.00,0.00,0.14,0.14,0.14,0.57,0.00,0.00,0.00,0.12,0.00,0.14,0.29,0.11,0.12,0.12
avocado,0.14,0.14,0.14,0.00,0.00,0.29,0.29,0.00,0.14,0.11,0.38,0.22,0.14,0.00,0.14,0.00,0.18,0.14,0.14,0.00,0.14,0.29,0.29,0.14,0.14,0.43,0.14,0.11,0.38,0.25,0.14,0.14,0.14,0.11,0.12,0.12
tangerine,0.33,0.22,0.33,0.22,0.11,0.11,0.00,0.22,0.11,0.00,0.22,0.11,0.22,0.22,0.11,0.11,0.27,0.11,0.33,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.56,0.22,0.11,0.00,0.22,0.22,0.33,0.11,0.22
cranberry,0.22,0.22,0.22,0.22,0.00,0.22,0.11,0.22,0.22,0.33,0.22,0.11,0.22,0.11,0.11,0.22,0.09,0.00,0.22,0.00,0.11,0.33,0.11,0.00,0.11,0.11,0.11,0.22,0.22,0.11,0.11,0.11,0.22,0.00,0.22,0.00
passionfruit,0.17,0.17,0.17,0.17,0.08,0.08,0.08,0.08,0.17,0.00,0.17,0.17,0.17,0.08,0.08,0.17,0.08,0.17,0.17,0.17,0.17,0.08,0.17,0.08,0.08,0.08,0.17,0.17,0.17,0.17,0.00,0.00,0.25,0.08,0.08,0.25
guava,0.29,0.20,0.33,0.29,0.00,0.20,0.60,0.17,0.20,0.22,0.12,0.22,0.17,0.00,0.29,0.29,0.09,0.20,0.00,0.00,0.33,0.43,0.00,0.00,0.20,0.00,0.20,0.22,0.12,0.12,0.57,0.00,0.00,0.22,0.25,0.12
lychee,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.14,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.17,0.00,0.00,0.00,0.12,0.00,1.00,0.00,0.11,0.12,0.00
persimmon,0.00,0.33,0.00,0.11,0.33,0.00,0.00,0.22,0.11,0.00,0.11,0.22,0.11,0.22,0.22,0.11,0.09,0.22,0.11,0.11,0.11,0.11,0.22,0.22,0.11,0.11,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.11,0.11,0.11
nectarine,0.22,0.22,0.22,0.33,0.11,0.22,0.11,0.22,0.11,0.00,0.11,0.11,0.11,0.22,0.22,0.11,0.27,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.33,0.11,0.22,0.44,0.11,0.11,0.11,0.22,0.22,0.89,0.00,0.22
currant,0.29,0.29,0.29,0.29,0.14,0.29,0.29,0.29,0.14,0.00,0.25,0.22,0.00,0.14,0.43,0.29,0.09,0.14,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.14,0.14,0.22,0.25,0.12,0.29,0.00,0.14,0.33,0.00,0.25
olive,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.14,0.27,0.20,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.17,0.00,0.11,0.12,0.12
