,jabłko,gruszka,banan,pomarańczowy,cytrynowy,wapno,winogrono,wiśniowy,truskawka,malina,jagoda,jeżyna,arbuz,melon,brzoskwinia,śliwka,morela,ananas,mango,kiwi,papaja,granat,grejpfrut,figa,data,orzech kokosowy,awokado,mandarynka,żurawina,marakuja,guawa,liczi,persymona,nektarowy,porzeczka,oliwka
apple,0.17,0.00,0.00,0.08,0.00,0.20,0.00,0.00,0.00,0.17,0.17,0.00,0.20,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.33,0.00,0.11,0.00,0.00,0.00,0.14,0.10,0.12,0.12,0.00,0.00,0.00,0.11,0.11,0.00
pear,0.00,0.00,0.20,0.25,0.11,0.00,0.11,0.00,0.11,0.00,0.00,0.17,0.00,0.20,0.00,0.00,0.17,0.17,0.00,0.00,0.33,0.17,0.22,0.00,0.00,0.07,0.14,0.20,0.12,0.12,0.20,0.00,0.22,0.33,0.22,0.00
banana,0.17,0.14,0.83,0.17,0.11,0.33,0.22,0.12,0.22,0.50,0.33,0.33,0.17,0.17,0.27,0.17,0.17,0.67,0.33,0.00,0.50,0.33,0.00,0.17,0.33,0.00,0.14,0.50,0.38,0.38,0.33,0.00,0.22,0.11,0.11,0.17
orange,0.00,0.14,0.33,0.25,0.22,0.17,0.22,0.12,0.22,0.00,0.00,0.00,0.17,0.00,0.18,0.00,0.17,0.33,0.50,0.00,0.00,0.50,0.11,0.17,0.17,0.13,0.14,0.20,0.25,0.25,0.17,0.00,0.11,0.11,0.22,0.17
lemon,0.00,0.00,0.20,0.17,0.11,0.00,0.22,0.12,0.00,0.17,0.17,0.33,0.00,0.60,0.18,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.13,0.00,0.10,0.12,0.00,0.00,0.20,0.44,0.22,0.11,0.17
lime,0.00,0.00,0.00,0.08,0.00,0.00,0.11,0.12,0.00,0.33,0.00,0.00,0.00,0.00,0.09,0.33,0.17,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.07,0.00,0.00,0.12,0.00,0.00,0.40,0.11,0.00,0.11,0.33
grape,0.00,0.29,0.00,0.17,0.11,0.20,0.22,0.00,0.22,0.00,0.00,0.00,0.20,0.00,0.09,0.00,0.17,0.17,0.00,0.00,0.17,0.50,0.33,0.00,0.20,0.07,0.14,0.10,0.25,0.25,0.40,0.00,0.11,0.11,0.11,0.00
cherry,0.00,0.00,0.00,0.17,0.33,0.00,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.22,0.22,0.11,0.00
strawberry,0.20,0.10,0.10,0.25,0.20,0.10,0.00,0.10,0.20,0.10,0.10,0.00,0.20,0.10,0.00,0.10,0.20,0.10,0.10,0.10,0.10,0.20,0.20,0.10,0.10,0.07,0.20,0.00,0.30,0.20,0.20,0.00,0.10,0.10,0.10,0.10
raspberry,0.22,0.11,0.11,0.17,0.11,0.22,0.00,0.11,0.11,0.11,0.11,0.00,0.22,0.11,0.18,0.00,0.11,0.11,0.11,0.00,0.22,0.11,0.22,0.00,0.11,0.13,0.11,0.10,0.00,0.11,0.00,0.00,0.00,0.11,0.00,0.00
blueberry,0.11,0.11,0.11,0.08,0.11,0.00,0.00,0.11,0.11,0.00,0.00,0.11,0.11,0.11,0.09,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.13,0.00,0.00,0.11,0.00,0.11,0.11,0.00,0.11,0.00,0.11
blackberry,0.20,0.00,0.20,0.17,0.10,0.10,0.00,0.10,0.10,0.10,0.10,0.00,0.20,0.10,0.18,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.10,0.20,0.10,0.00,0.00,0.10,0.10,0.20,0.00,0.20,0.00,0.20
watermelon,0.20,0.10,0.20,0.17,0.20,0.30,0.20,0.10,0.00,0.20,0.10,0.10,0.20,0.50,0.00,0.00,0.30,0.10,0.20,0.00,0.10,0.10,0.10,0.00,0.20,0.13,0.20,0.10,0.10,0.20,0.00,0.00,0.30,0.10,0.10,0.00
melon,0.00,0.00,0.20,0.17,0.11,0.00,0.22,0.12,0.00,0.50,0.17,0.33,0.00,1.00,0.18,0.00,0.33,0.00,0.20,0.00,0.00,0.00,0.11,0.00,0.00,0.13,0.00,0.20,0.12,0.12,0.00,0.00,0.33,0.22,0.11,0.00
peach,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.17,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.00,0.33,0.17,0.11,0.00,0.20,0.13,0.14,0.10,0.12,0.12,0.20,0.00,0.22,0.22,0.22,0.00
plum,0.00,0.14,0.00,0.08,0.00,0.00,0.00,0.00,0.11,0.17,0.00,0.00,0.20,0.20,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.22,0.00,0.11,0.17
apricot,0.14,0.00,0.00,0.25,0.22,0.29,0.11,0.12,0.00,0.14,0.00,0.00,0.29,0.14,0.09,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.11,0.14,0.00,0.13,0.14,0.20,0.12,0.12,0.00,0.29,0.22,0.11,0.22,0.14
pineapple,0.11,0.00,0.22,0.17,0.00,0.22,0.22,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.22,0.22,0.11,0.11,0.33,0.11,0.11,0.22,0.11,0.07,0.11,0.20,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
