,jabłko,gruszka,banan,pomarańczowy,cytrynowy,wapno,winogrono,wiśniowy,truskawka,malina,jagoda,jeżyna,arbuz,melon,brzoskwinia,śliwka,morela,ananas,mango,kiwi,papaja,granat,grejpfrut,figa,data,orzech kokosowy,awokado,mandarynka,żurawina,marakuja,guawa,liczi,persymona,nektarowy,porzeczka,oliwka
manzana,0.14,0.14,0.57,0.25,0.11,0.29,0.22,0.12,0.22,0.57,0.29,0.29,0.14,0.29,0.18,0.14,0.29,0.57,0.43,0.00,0.43,0.29,0.00,0.14,0.29,0.00,0.14,0.60,0.25,0.38,0.29,0.14,0.22,0.11,0.22,0.14
pera,0.00,0.14,0.20,0.25,0.11,0.00,0.11,0.00,0.11,0.17,0.17,0.33,0.00,0.20,0.09,0.17,0.33,0.17,0.00,0.00,0.33,0.17,0.22,0.25,0.25,0.07,0.14,0.20,0.25,0.25,0.20,0.00,0.44,0.22,0.33,0.17
banana,0.17,0.14,0.83,0.17,0.11,0.33,0.22,0.12,0.22,0.50,0.33,0.33,0.17,0.17,0.27,0.17,0.17,0.67,0.33,0.00,0.50,0.33,0.00,0.17,0.33,0.00,0.14,0.50,0.38,0.38,0.33,0.00,0.22,0.11,0.11,0.17
naranja,0.14,0.14,0.43,0.25,0.22,0.29,0.22,0.00,0.22,0.43,0.29,0.29,0.29,0.14,0.18,0.14,0.29,0.43,0.29,0.00,0.57,0.43,0.00,0.14,0.29,0.00,0.00,0.50,0.38,0.62,0.29,0.00,0.22,0.22,0.22,0.14
limón,0.00,0.00,0.20,0.08,0.11,0.00,0.22,0.12,0.00,0.17,0.00,0.17,0.00,0.20,0.09,0.33,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.12,0.00,0.00,0.40,0.22,0.00,0.00,0.33
cal,0.17,0.00,0.20,0.08,0.11,0.20,0.00,0.00,0.11,0.33,0.17,0.00,0.00,0.20,0.00,0.00,0.17,0.17,0.20,0.00,0.17,0.17,0.00,0.00,0.25,0.07,0.14,0.10,0.12,0.12,0.20,0.20,0.00,0.11,0.11,0.00
uva,0.00,0.29,0.20,0.08,0.00,0.00,0.00,0.00,0.22,0.17,0.17,0.17,0.00,0.00,0.09,0.17,0.17,0.17,0.00,0.00,0.17,0.17,0.00,0.25,0.25,0.00,0.14,0.10,0.25,0.25,0.40,0.00,0.11,0.11,0.11,0.17
cereza,0.00,0.29,0.00,0.17,0.22,0.00,0.11,0.00,0.11,0.17,0.17,0.33,0.17,0.17,0.09,0.17,0.50,0.00,0.00,0.00,0.17,0.17,0.11,0.17,0.17,0.07,0.00,0.20,0.25,0.25,0.17,0.17,0.33,0.22,0.44,0.17
fresa,0.00,0.43,0.00,0.08,0.11,0.00,0.11,0.00,0.33,0.17,0.17,0.17,0.20,0.00,0.27,0.17,0.50,0.17,0.00,0.00,0.17,0.33,0.22,0.40,0.20,0.20,0.14,0.20,0.25,0.25,0.20,0.00,0.22,0.11,0.33,0.17
frambuesa,0.22,0.22,0.11,0.17,0.00,0.11,0.00,0.00,0.22,0.22,0.22,0.11,0.33,0.11,0.18,0.11,0.33,0.22,0.11,0.00,0.22,0.22,0.11,0.22,0.22,0.13,0.11,0.10,0.22,0.33,0.22,0.00,0.11,0.00,0.11,0.11
arándano,0.12,0.12,0.38,0.17,0.11,0.25,0.22,0.12,0.22,0.25,0.25,0.12,0.25,0.12,0.18,0.12,0.12,0.38,0.25,0.00,0.12,0.38,0.11,0.12,0.25,0.13,0.38,0.30,0.12,0.12,0.12,0.00,0.22,0.11,0.11,0.12
zarzamora,0.22,0.22,0.22,0.25,0.11,0.22,0.11,0.11,0.11,0.22,0.33,0.11,0.22,0.11,0.18,0.11,0.22,0.22,0.22,0.00,0.33,0.22,0.11,0.11,0.22,0.13,0.22,0.30,0.33,0.44,0.22,0.11,0.44,0.22,0.33,0.11
sandía,0.17,0.14,0.33,0.08,0.11,0.17,0.11,0.12,0.22,0.33,0.33,0.17,0.17,0.00,0.18,0.17,0.17,0.33,0.33,0.00,0.33,0.17,0.00,0.17,0.33,0.00,0.14,0.40,0.25,0.25,0.17,0.00,0.22,0.11,0.11,0.17
melón,0.00,0.00,0.20,0.08,0.11,0.00,0.11,0.00,0.00,0.50,0.00,0.33,0.00,0.80,0.09,0.00,0.33,0.00,0.20,0.00,0.00,0.00,0.11,0.00,0.00,0.07,0.00,0.20,0.12,0.12,0.00,0.00,0.22,0.11,0.11,0.00
durazno,0.14,0.14,0.29,0.25,0.22,0.43,0.22,0.00,0.22,0.14,0.00,0.14,0.14,0.14,0.09,0.00,0.14,0.14,0.29,0.00,0.14,0.29,0.00,0.14,0.29,0.07,0.14,0.20,0.50,0.25,0.29,0.14,0.22,0.11,0.22,0.00
ciruela,0.00,0.29,0.00,0.08,0.22,0.00,0.11,0.12,0.22,0.14,0.14,0.14,0.14,0.14,0.09,0.14,0.57,0.00,0.00,0.14,0.14,0.14,0.00,0.29,0.14,0.07,0.00,0.20,0.25,0.25,0.29,0.14,0.22,0.00,0.33,0.14
albaricoque,0.18,0.09,0.18,0.25,0.18,0.18,0.09,0.18,0.00,0.18,0.18,0.00,0.27,0.09,0.00,0.18,0.09,0.18,0.18,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.18,0.18,0.18,0.18,0.09,0.27,0.09,0.18,0.09,0.18
piña,0.00,0.14,0.20,0.17,0.00,0.00,0.11,0.12,0.11,0.33,0.17,0.17,0.00,0.00,0.18,0.33,0.17,0.17,0.00,0.25,0.33,0.17,0.11,0.50,0.25,0.00,0.14,0.10,0.25,0.12,0.20,0.20,0.22,0.11,0.22,0.33
mango,0.33,0.00,0.40,0.25,0.11,0.40,0.33,0.25,0.11,0.33,0.33,0.00,0.00,0.20,0.09,0.00,0.17,0.33,1.00,0.00,0.17,0.33,0.00,0.20,0.20,0.07,0.14,0.30,0.12,0.25,0.00,0.00,0.11,0.11,0.00,0.00
kiwi,0.00,0.00,0.00,0.08,0.11,0.00,0.11,0.25,0.22,0.17,0.00,0.00,0.00,0.00,0.27,0.33,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.25,0.00,0.13,0.14,0.00,0.25,0.12,0.20,0.40,0.00,0.22,0.00,0.33
papaya,0.17,0.14,0.33,0.25,0.11,0.33,0.00,0.00,0.22,0.33,0.33,0.17,0.17,0.00,0.09,0.17,0.17,0.33,0.17,0.00,0.83,0.17,0.11,0.17,0.33,0.00,0.14,0.40,0.25,0.38,0.33,0.00,0.33,0.11,0.22,0.17
granada,0.14,0.43,0.43,0.17,0.22,0.14,0.11,0.12,0.33,0.29,0.43,0.14,0.14,0.00,0.18,0.14,0.14,0.43,0.29,0.00,0.43,0.71,0.22,0.14,0.29,0.07,0.29,0.30,0.38,0.38,0.43,0.00,0.22,0.11,0.22,0.14
pomelo,0.17,0.00,0.00,0.33,0.11,0.17,0.22,0.12,0.00,0.00,0.00,0.00,0.00,0.50,0.09,0.00,0.50,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.13,0.29,0.00,0.00,0.00,0.00,0.00,0.22,0.11,0.33,0.00
higo,0.17,0.00,0.00,0.08,0.11,0.20,0.33,0.25,0.00,0.17,0.33,0.00,0.00,0.20,0.09,0.17,0.00,0.00,0.40,0.25,0.00,0.00,0.00,0.50,0.00,0.13,0.14,0.00,0.12,0.00,0.00,0.20,0.11,0.11,0.00,0.17
fecha,0.00,0.14,0.00,0.08,0.00,0.00,0.00,0.00,0.11,0.17,0.17,0.33,0.00,0.20,0.09,0.17,0.17,0.17,0.00,0.00,0.17,0.17,0.11,0.40,0.20,0.20,0.14,0.10,0.12,0.12,0.20,0.20,0.22,0.22,0.33,0.17
coco,0.17,0.00,0.00,0.25,0.22,0.20,0.22,0.12,0.00,0.00,0.17,0.00,0.00,0.20,0.09,0.00,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.29,0.00,0.00,0.00,0.00,0.20,0.11,0.11,0.22,0.00
palta,0.17,0.14,0.20,0.17,0.00,0.20,0.00,0.00,0.22,0.50,0.33,0.17,0.00,0.20,0.09,0.17,0.17,0.17,0.20,0.00,0.50,0.17,0.11,0.20,0.60,0.00,0.14,0.20,0.25,0.25,0.20,0.00,0.22,0.22,0.22,0.17
mandarina,0.11,0.11,0.44,0.17,0.00,0.22,0.33,0.00,0.11,0.56,0.22,0.22,0.22,0.22,0.27,0.11,0.33,0.44,0.33,0.11,0.33,0.22,0.00,0.22,0.33,0.00,0.11,0.80,0.44,0.44,0.22,0.11,0.22,0.22,0.11,0.11
arándano,0.12,0.12,0.38,0.17,0.11,0.25,0.22,0.12,0.22,0.25,0.25,0.12,0.25,0.12,0.18,0.12,0.12,0.38,0.25,0.00,0.12,0.38,0.11,0.12,0.25,0.13,0.38,0.30,0.12,0.12,0.12,0.00,0.22,0.11,0.11,0.12
maracuyá,0.12,0.12,0.25,0.42,0.11,0.12,0.00,0.00,0.00,0.25,0.12,0.00,0.38,0.12,0.00,0.00,0.25,0.25,0.25,0.00,0.25,0.25,0.00,0.12,0.25,0.07,0.12,0.30,0.25,0.62,0.12,0.12,0.11,0.11,0.22,0.00
guayaba,0.14,0.29,0.29,0.17,0.11,0.14,0.00,0.00,0.33,0.29,0.29,0.29,0.14,0.00,0.09,0.14,0.14,0.29,0.14,0.00,0.43,0.43,0.11,0.14,0.29,0.00,0.14,0.30,0.38,0.25,0.57,0.00,0.22,0.11,0.11,0.14
lychee,0.00,0.00,0.00,0.08,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.33,0.11,0.00,0.11,0.00
caqui,0.17,0.00,0.20,0.08,0.11,0.20,0.00,0.12,0.11,0.17,0.17,0.00,0.20,0.00,0.09,0.00,0.00,0.17,0.20,0.20,0.17,0.17,0.11,0.00,0.20,0.07,0.00,0.10,0.12,0.25,0.00,0.20,0.00,0.11,0.00,0.00
