,alma,körte,banán,narancs,citrom,mész,szőlő,cseresznye,eper,málna,áfonya,földi szeder,görögdinnye,dinnye,őszibarack,szilva,sárgabarack,ananász,mangó,kiwi,papaya,gránátalma,grapefruit,füge,dátum,kókuszdió,avokádó,mandarin,vörösáfonya,golgotagyümölcs,gujávafa,licsi,datolyaszilva,nektarin,ribizli,olajbogyó
õun,0.00,0.00,0.20,0.14,0.00,0.00,0.00,0.10,0.00,0.20,0.17,0.00,0.09,0.17,0.00,0.00,0.00,0.14,0.20,0.00,0.00,0.10,0.10,0.00,0.20,0.11,0.00,0.12,0.09,0.00,0.12,0.00,0.00,0.12,0.00,0.00
pirn,0.00,0.20,0.20,0.29,0.33,0.00,0.00,0.20,0.25,0.20,0.17,0.08,0.18,0.33,0.20,0.17,0.09,0.14,0.00,0.25,0.17,0.10,0.20,0.00,0.00,0.00,0.00,0.25,0.18,0.00,0.00,0.20,0.08,0.25,0.14,0.00
banaan,0.33,0.00,0.67,0.29,0.00,0.00,0.00,0.10,0.00,0.17,0.17,0.00,0.09,0.17,0.30,0.00,0.27,0.29,0.33,0.00,0.33,0.20,0.10,0.00,0.00,0.00,0.00,0.50,0.09,0.07,0.12,0.00,0.15,0.25,0.00,0.11
oranž,0.00,0.00,0.20,0.43,0.00,0.00,0.00,0.20,0.00,0.20,0.17,0.00,0.18,0.17,0.20,0.00,0.18,0.29,0.20,0.00,0.17,0.20,0.20,0.00,0.00,0.00,0.14,0.12,0.18,0.13,0.12,0.00,0.15,0.12,0.00,0.22
sidrun,0.00,0.17,0.17,0.14,0.33,0.00,0.17,0.20,0.17,0.00,0.00,0.08,0.18,0.17,0.30,0.17,0.18,0.00,0.00,0.17,0.00,0.00,0.20,0.00,0.17,0.11,0.00,0.38,0.09,0.00,0.00,0.17,0.08,0.25,0.14,0.00
lubi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.00,0.10,0.00,0.09,0.00,0.00,0.25,0.00,0.00,0.10,0.00,0.00,0.22,0.00,0.12,0.00,0.07,0.12,0.40,0.15,0.12,0.29,0.22
viinamari,0.22,0.00,0.11,0.22,0.22,0.11,0.00,0.00,0.11,0.22,0.22,0.08,0.00,0.22,0.30,0.22,0.27,0.22,0.11,0.22,0.22,0.20,0.10,0.00,0.11,0.00,0.00,0.33,0.09,0.13,0.11,0.22,0.15,0.22,0.22,0.00
kirss,0.00,0.40,0.00,0.29,0.33,0.20,0.00,0.20,0.00,0.00,0.00,0.17,0.09,0.17,0.20,0.17,0.09,0.14,0.00,0.40,0.00,0.00,0.10,0.00,0.00,0.22,0.00,0.12,0.18,0.07,0.00,0.40,0.08,0.25,0.14,0.00
maasikas,0.25,0.00,0.12,0.25,0.00,0.25,0.12,0.10,0.00,0.25,0.12,0.08,0.09,0.00,0.10,0.12,0.18,0.12,0.25,0.12,0.25,0.10,0.10,0.00,0.00,0.11,0.12,0.25,0.09,0.13,0.00,0.25,0.31,0.00,0.12,0.11
vaarikas,0.25,0.12,0.12,0.38,0.12,0.00,0.00,0.10,0.12,0.12,0.12,0.08,0.09,0.00,0.10,0.12,0.18,0.12,0.12,0.12,0.25,0.10,0.10,0.00,0.00,0.00,0.12,0.25,0.09,0.13,0.00,0.12,0.23,0.12,0.12,0.11
mustikas,0.12,0.12,0.00,0.12,0.12,0.25,0.12,0.00,0.00,0.25,0.12,0.08,0.09,0.00,0.20,0.25,0.09,0.00,0.12,0.12,0.12,0.10,0.00,0.00,0.12,0.11,0.00,0.12,0.09,0.13,0.12,0.12,0.15,0.12,0.12,0.00
murakas,0.14,0.14,0.14,0.43,0.00,0.14,0.00,0.10,0.00,0.29,0.14,0.08,0.09,0.00,0.20,0.14,0.27,0.14,0.29,0.00,0.29,0.10,0.10,0.00,0.00,0.11,0.00,0.25,0.09,0.13,0.25,0.00,0.15,0.12,0.00,0.00
arbuus,0.17,0.00,0.00,0.43,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.08,0.09,0.00,0.10,0.00,0.18,0.29,0.00,0.00,0.00,0.10,0.20,0.00,0.17,0.11,0.14,0.12,0.09,0.13,0.00,0.00,0.15,0.00,0.14,0.22
melon,0.20,0.00,0.20,0.14,0.17,0.20,0.00,0.20,0.20,0.40,0.17,0.08,0.09,0.00,0.00,0.17,0.00,0.00,0.20,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.25,0.18,0.13,0.00,0.00,0.08,0.25,0.00,0.11
virsik,0.00,0.17,0.00,0.14,0.17,0.17,0.00,0.20,0.00,0.00,0.00,0.17,0.18,0.17,0.30,0.00,0.18,0.00,0.00,0.33,0.00,0.00,0.20,0.00,0.00,0.22,0.14,0.12,0.27,0.00,0.00,0.50,0.15,0.12,0.14,0.00
ploom,0.20,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.10,0.10,0.00,0.20,0.00,0.14,0.00,0.09,0.20,0.00,0.00,0.08,0.00,0.00,0.22
aprikoos,0.12,0.12,0.00,0.25,0.25,0.00,0.00,0.10,0.12,0.00,0.00,0.08,0.18,0.12,0.10,0.12,0.09,0.12,0.00,0.12,0.12,0.00,0.20,0.00,0.00,0.00,0.25,0.00,0.18,0.13,0.00,0.12,0.08,0.00,0.12,0.11
ananass,0.29,0.00,0.29,0.43,0.00,0.14,0.00,0.10,0.00,0.29,0.14,0.08,0.09,0.14,0.20,0.00,0.27,0.71,0.29,0.00,0.29,0.20,0.10,0.00,0.00,0.00,0.14,0.25,0.00,0.13,0.12,0.14,0.23,0.12,0.00,0.11
mango,0.20,0.00,0.40,0.29,0.17,0.20,0.00,0.10,0.00,0.20,0.17,0.00,0.09,0.17,0.10,0.00,0.09,0.29,0.80,0.00,0.17,0.10,0.10,0.20,0.00,0.00,0.00,0.38,0.09,0.13,0.00,0.00,0.08,0.12,0.00,0.22
kiivi,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.10,0.33,0.00,0.00,0.00,0.60,0.00,0.00,0.10,0.00,0.00,0.22,0.00,0.12,0.00,0.00,0.12,0.40,0.15,0.25,0.43,0.00
papaia,0.33,0.00,0.17,0.29,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.08,0.09,0.00,0.20,0.17,0.27,0.14,0.17,0.17,0.83,0.20,0.30,0.00,0.00,0.11,0.00,0.38,0.09,0.07,0.25,0.17,0.31,0.25,0.00,0.11
granaatõun,0.20,0.10,0.30,0.20,0.10,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.18,0.10,0.10,0.10,0.18,0.30,0.20,0.00,0.20,0.30,0.30,0.00,0.20,0.00,0.10,0.40,0.09,0.13,0.20,0.00,0.08,0.20,0.10,0.10
greip,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.08,0.27,0.00,0.10,0.00,0.18,0.00,0.00,0.20,0.00,0.20,0.40,0.00,0.00,0.11,0.00,0.12,0.09,0.07,0.12,0.00,0.08,0.12,0.14,0.00
joon,0.00,0.00,0.20,0.14,0.17,0.00,0.00,0.10,0.00,0.20,0.33,0.00,0.09,0.17,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.14,0.12,0.18,0.13,0.12,0.00,0.08,0.12,0.00,0.22
kuupäeva,0.12,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.12,0.12,0.08,0.00,0.12,0.10,0.25,0.09,0.00,0.00,0.12,0.25,0.10,0.10,0.12,0.00,0.22,0.00,0.00,0.09,0.00,0.25,0.00,0.15,0.00,0.00,0.00
kookospähkel,0.00,0.17,0.00,0.00,0.08,0.08,0.08,0.17,0.17,0.00,0.08,0.08,0.08,0.08,0.08,0.08,0.00,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.25,0.17,0.00,0.08,0.20,0.00,0.08,0.08,0.08,0.00,0.08
avokaado,0.25,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.12,0.25,0.08,0.00,0.00,0.20,0.12,0.18,0.12,0.12,0.12,0.12,0.10,0.10,0.00,0.00,0.11,0.62,0.12,0.09,0.13,0.12,0.00,0.23,0.12,0.00,0.11
mandariin,0.22,0.11,0.33,0.22,0.11,0.11,0.00,0.00,0.11,0.22,0.11,0.08,0.18,0.11,0.20,0.00,0.18,0.33,0.33,0.11,0.22,0.10,0.30,0.00,0.11,0.11,0.11,0.89,0.09,0.07,0.00,0.11,0.23,0.44,0.11,0.00
jõhvikas,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.08,0.09,0.00,0.10,0.12,0.09,0.00,0.00,0.12,0.12,0.10,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.13,0.12,0.12,0.15,0.00,0.12,0.00
kannatusvili,0.17,0.17,0.17,0.25,0.08,0.08,0.17,0.08,0.00,0.17,0.08,0.00,0.00,0.17,0.00,0.17,0.08,0.33,0.17,0.25,0.17,0.17,0.17,0.00,0.17,0.25,0.08,0.33,0.00,0.13,0.08,0.17,0.31,0.25,0.17,0.08
guajaav,0.29,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.09,0.00,0.20,0.14,0.27,0.14,0.14,0.00,0.29,0.20,0.20,0.00,0.00,0.11,0.00,0.12,0.00,0.13,0.38,0.00,0.15,0.12,0.00,0.22
litši,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.09,0.17,0.10,0.17,0.00,0.00,0.00,0.40,0.00,0.10,0.10,0.00,0.20,0.11,0.00,0.12,0.00,0.13,0.00,0.60,0.15,0.25,0.29,0.11
hurmaa,0.33,0.17,0.00,0.14,0.00,0.00,0.00,0.10,0.00,0.17,0.17,0.00,0.09,0.00,0.20,0.17,0.27,0.00,0.00,0.00,0.17,0.20,0.10,0.00,0.00,0.11,0.00,0.12,0.18,0.07,0.38,0.00,0.15,0.12,0.00,0.00
nektariin,0.11,0.22,0.22,0.22,0.22,0.00,0.00,0.10,0.22,0.11,0.00,0.00,0.18,0.00,0.20,0.00,0.18,0.11,0.11,0.22,0.11,0.10,0.20,0.00,0.11,0.22,0.00,0.44,0.09,0.13,0.00,0.11,0.15,0.89,0.11,0.00
sõstar,0.17,0.17,0.00,0.00,0.00,0.17,0.17,0.20,0.17,0.17,0.00,0.17,0.00,0.00,0.30,0.17,0.27,0.00,0.00,0.00,0.00,0.20,0.10,0.00,0.17,0.11,0.00,0.25,0.09,0.13,0.12,0.00,0.08,0.38,0.00,0.00
oliiv,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.09,0.00,0.10,0.33,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.00,0.00,0.11,0.14,0.12,0.00,0.13,0.12,0.20,0.31,0.12,0.14,0.22
