,manzana,pera,banana,naranja,limón,cal,uva,cereza,fresa,frambuesa,arándano,zarzamora,sandía,melón,durazno,ciruela,albaricoque,piña,mango,kiwi,papaya,granada,pomelo,higo,fecha,coco,palta,mandarina,arándano,maracuyá,guayaba,lychee,caqui,nectarina,grosella,aceituna
pomme,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.22,0.00,0.11,0.00,0.00,0.00,0.14,0.18,0.20,0.00,0.00,0.17,0.00,0.50,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.12,0.00
poire,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.11,0.00,0.11,0.00,0.00,0.00,0.29,0.18,0.40,0.00,0.20,0.17,0.00,0.33,0.20,0.00,0.20,0.20,0.11,0.00,0.00,0.00,0.17,0.00,0.11,0.12,0.12
banane,0.57,0.17,0.83,0.43,0.17,0.17,0.17,0.00,0.00,0.22,0.38,0.22,0.33,0.17,0.29,0.00,0.27,0.17,0.33,0.00,0.33,0.43,0.00,0.00,0.00,0.00,0.17,0.44,0.38,0.25,0.29,0.17,0.17,0.22,0.00,0.12
orange,0.14,0.17,0.17,0.43,0.00,0.17,0.17,0.00,0.17,0.33,0.25,0.22,0.17,0.00,0.29,0.14,0.18,0.00,0.50,0.00,0.00,0.43,0.00,0.17,0.00,0.00,0.17,0.11,0.25,0.25,0.14,0.17,0.17,0.11,0.12,0.00
citron,0.14,0.17,0.00,0.14,0.33,0.17,0.00,0.17,0.00,0.00,0.12,0.11,0.00,0.17,0.14,0.29,0.18,0.17,0.17,0.17,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.22,0.12,0.00,0.00,0.00,0.17,0.33,0.00,0.38
citron vert,0.09,0.18,0.09,0.18,0.18,0.09,0.09,0.27,0.18,0.18,0.18,0.18,0.09,0.09,0.09,0.36,0.00,0.09,0.09,0.09,0.00,0.18,0.18,0.18,0.00,0.18,0.00,0.00,0.18,0.09,0.00,0.09,0.09,0.09,0.18,0.18
raisin,0.29,0.00,0.17,0.14,0.33,0.17,0.00,0.00,0.17,0.22,0.25,0.22,0.17,0.17,0.14,0.00,0.18,0.17,0.17,0.33,0.17,0.29,0.00,0.17,0.00,0.00,0.17,0.33,0.25,0.25,0.14,0.00,0.33,0.22,0.12,0.25
cerise,0.00,0.33,0.00,0.14,0.00,0.17,0.00,0.50,0.33,0.11,0.00,0.11,0.00,0.17,0.14,0.29,0.27,0.17,0.00,0.17,0.00,0.00,0.00,0.17,0.17,0.17,0.00,0.22,0.00,0.12,0.00,0.17,0.17,0.33,0.25,0.25
fraise,0.00,0.17,0.00,0.29,0.00,0.17,0.17,0.00,0.50,0.44,0.12,0.22,0.00,0.00,0.29,0.14,0.27,0.17,0.17,0.17,0.00,0.29,0.00,0.17,0.17,0.00,0.17,0.22,0.12,0.25,0.14,0.17,0.17,0.22,0.25,0.12
framboise,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.33,0.67,0.11,0.22,0.11,0.11,0.22,0.00,0.27,0.11,0.22,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.11,0.00
myrtille,0.12,0.12,0.00,0.12,0.12,0.12,0.00,0.12,0.12,0.11,0.00,0.11,0.00,0.25,0.12,0.25,0.18,0.12,0.12,0.12,0.00,0.12,0.12,0.12,0.00,0.00,0.12,0.11,0.00,0.25,0.00,0.25,0.12,0.11,0.25,0.00
