,omena,päärynä,banaani,oranssi,sitruuna,lime,rypäleen,kirsikka,mansikka,vadelma,mustikka,karhunvatukka,vesimeloni,meloni,persikka,luumu,aprikoosi,ananas,mango,kiivi,papaija,granaattiomena,greippi,kuva,päivämäärä,kookos,avokado,mandariini,karpalo,passionhedelmä,guava,litsi,kaki,nektariini,herukka,oliivi
alma,0.20,0.00,0.29,0.14,0.12,0.25,0.12,0.12,0.25,0.57,0.12,0.15,0.10,0.17,0.12,0.20,0.11,0.33,0.20,0.00,0.29,0.21,0.00,0.25,0.10,0.00,0.29,0.20,0.29,0.21,0.20,0.00,0.00,0.10,0.14,0.17
körte,0.00,0.14,0.00,0.00,0.12,0.20,0.12,0.25,0.00,0.00,0.12,0.23,0.10,0.00,0.12,0.00,0.11,0.00,0.00,0.20,0.00,0.14,0.00,0.20,0.00,0.17,0.00,0.10,0.29,0.07,0.00,0.00,0.20,0.20,0.14,0.00
banán,0.00,0.14,0.57,0.29,0.12,0.00,0.12,0.00,0.25,0.14,0.00,0.15,0.10,0.17,0.00,0.00,0.00,0.33,0.40,0.00,0.14,0.21,0.00,0.00,0.00,0.00,0.00,0.30,0.14,0.14,0.00,0.00,0.20,0.20,0.00,0.00
narancs,0.14,0.14,0.29,0.43,0.12,0.00,0.00,0.12,0.12,0.14,0.00,0.23,0.00,0.14,0.12,0.00,0.22,0.57,0.29,0.00,0.29,0.14,0.00,0.14,0.00,0.14,0.00,0.30,0.29,0.14,0.14,0.00,0.14,0.30,0.14,0.00
citrom,0.00,0.14,0.00,0.00,0.38,0.17,0.00,0.12,0.00,0.14,0.12,0.08,0.20,0.00,0.00,0.00,0.22,0.00,0.17,0.17,0.00,0.21,0.00,0.00,0.10,0.17,0.00,0.10,0.00,0.14,0.00,0.33,0.00,0.20,0.00,0.00
mész,0.20,0.00,0.00,0.14,0.00,0.00,0.00,0.12,0.25,0.00,0.25,0.00,0.10,0.17,0.12,0.00,0.11,0.00,0.20,0.00,0.00,0.07,0.00,0.00,0.10,0.00,0.00,0.10,0.00,0.07,0.00,0.20,0.00,0.00,0.00,0.00
szőlő,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,0.14,0.12,0.00,0.20,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00
cseresznye,0.20,0.20,0.10,0.10,0.20,0.10,0.10,0.20,0.10,0.10,0.00,0.00,0.20,0.20,0.30,0.00,0.10,0.10,0.10,0.00,0.00,0.07,0.20,0.00,0.00,0.10,0.00,0.00,0.10,0.14,0.00,0.10,0.00,0.00,0.20,0.00
eper,0.20,0.14,0.00,0.00,0.12,0.00,0.25,0.00,0.00,0.14,0.00,0.00,0.20,0.17,0.25,0.00,0.11,0.00,0.00,0.00,0.14,0.07,0.29,0.00,0.10,0.00,0.00,0.10,0.14,0.14,0.00,0.00,0.00,0.20,0.14,0.00
málna,0.40,0.14,0.14,0.14,0.25,0.00,0.12,0.12,0.25,0.29,0.25,0.15,0.30,0.50,0.12,0.00,0.00,0.33,0.20,0.00,0.14,0.14,0.00,0.20,0.10,0.00,0.14,0.20,0.14,0.07,0.20,0.00,0.00,0.10,0.14,0.00
