,mela,pera,banana,arancia,limone,lime,uva,ciliegia,fragola,lampone,mirtillo,mora,anguria,melone,pesca,prugna,albicocca,ananas,mango,kiwi,papaia,melograno,pompelmo,fico,data,noce di cocco,avocado,mandarino,mirtillo,frutto della passione,guaiava,litchi,cachi,nettarina,ribes,oliva
appel,0.20,0.20,0.17,0.14,0.00,0.20,0.00,0.12,0.14,0.29,0.12,0.00,0.14,0.00,0.00,0.00,0.11,0.17,0.00,0.00,0.33,0.00,0.38,0.00,0.00,0.08,0.14,0.11,0.12,0.10,0.14,0.00,0.00,0.11,0.20,0.00
peer,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.14,0.00,0.00,0.14,0.17,0.40,0.17,0.00,0.00,0.00,0.00,0.17,0.22,0.25,0.00,0.00,0.08,0.00,0.11,0.00,0.05,0.00,0.00,0.00,0.22,0.20,0.00
banaan,0.17,0.17,0.67,0.29,0.00,0.00,0.17,0.00,0.14,0.29,0.00,0.17,0.14,0.00,0.17,0.00,0.11,0.50,0.33,0.00,0.33,0.22,0.00,0.00,0.33,0.00,0.14,0.44,0.00,0.14,0.29,0.00,0.17,0.22,0.00,0.17
oranje,0.00,0.17,0.17,0.43,0.17,0.17,0.17,0.00,0.29,0.14,0.12,0.33,0.00,0.17,0.00,0.17,0.00,0.33,0.33,0.00,0.00,0.33,0.12,0.00,0.17,0.08,0.14,0.11,0.12,0.14,0.14,0.00,0.17,0.11,0.17,0.17
citroen,0.00,0.14,0.00,0.00,0.29,0.29,0.00,0.25,0.14,0.14,0.25,0.14,0.00,0.14,0.00,0.14,0.11,0.00,0.14,0.14,0.00,0.11,0.00,0.29,0.14,0.23,0.00,0.11,0.25,0.19,0.00,0.29,0.14,0.22,0.29,0.00
limoen,0.17,0.00,0.00,0.00,0.67,0.67,0.00,0.25,0.14,0.43,0.12,0.33,0.00,0.17,0.00,0.00,0.33,0.00,0.00,0.17,0.00,0.22,0.25,0.33,0.00,0.15,0.00,0.11,0.12,0.14,0.00,0.33,0.00,0.11,0.33,0.17
druif,0.00,0.00,0.00,0.29,0.00,0.00,0.20,0.12,0.14,0.00,0.25,0.00,0.29,0.00,0.00,0.33,0.11,0.00,0.00,0.20,0.17,0.11,0.00,0.00,0.20,0.08,0.00,0.22,0.25,0.14,0.14,0.00,0.00,0.11,0.00,0.00
kers,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0.25,0.14,0.17,0.20,0.00,0.00,0.17,0.00,0.25,0.00,0.22,0.12,0.00,0.00,0.08,0.00,0.11,0.12,0.10,0.00,0.00,0.00,0.22,0.20,0.00
aardbei,0.00,0.14,0.14,0.29,0.14,0.14,0.00,0.12,0.00,0.14,0.12,0.14,0.14,0.14,0.00,0.14,0.11,0.14,0.14,0.14,0.14,0.00,0.00,0.00,0.14,0.08,0.14,0.33,0.12,0.10,0.00,0.14,0.29,0.11,0.43,0.00
framboos,0.12,0.12,0.12,0.25,0.25,0.12,0.12,0.00,0.50,0.38,0.12,0.25,0.00,0.12,0.00,0.12,0.11,0.25,0.25,0.00,0.12,0.00,0.00,0.25,0.12,0.08,0.12,0.11,0.12,0.19,0.12,0.00,0.12,0.00,0.38,0.00
bosbes,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.12,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.11,0.17,0.00,0.00,0.00,0.11,0.25,0.00,0.00,0.08,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.50,0.17
braam,0.20,0.20,0.33,0.29,0.00,0.00,0.20,0.00,0.29,0.00,0.12,0.20,0.14,0.00,0.00,0.17,0.11,0.33,0.00,0.00,0.17,0.22,0.12,0.00,0.20,0.00,0.14,0.11,0.12,0.14,0.29,0.00,0.00,0.11,0.00,0.00
watermeloen,0.27,0.18,0.09,0.18,0.18,0.18,0.00,0.09,0.18,0.27,0.18,0.18,0.09,0.36,0.09,0.09,0.09,0.09,0.18,0.00,0.09,0.18,0.18,0.09,0.18,0.15,0.18,0.18,0.18,0.19,0.00,0.09,0.09,0.09,0.18,0.09
meloen,0.50,0.17,0.00,0.00,0.17,0.17,0.00,0.25,0.14,0.14,0.12,0.33,0.00,0.67,0.17,0.00,0.11,0.00,0.17,0.00,0.00,0.56,0.25,0.17,0.00,0.15,0.00,0.22,0.12,0.14,0.00,0.00,0.00,0.22,0.17,0.17
