,manzana,pera,banana,naranja,limón,cal,uva,cereza,fresa,frambuesa,arándano,zarzamora,sandía,melón,durazno,ciruela,albaricoque,piña,mango,kiwi,papaya,granada,pomelo,higo,fecha,coco,palta,mandarina,arándano,maracuyá,guayaba,lychee,caqui,nectarina,grosella,aceituna
jabłko,0.14,0.00,0.17,0.14,0.00,0.17,0.00,0.00,0.00,0.22,0.12,0.22,0.17,0.00,0.14,0.00,0.18,0.00,0.33,0.00,0.17,0.14,0.17,0.17,0.00,0.17,0.17,0.11,0.12,0.12,0.14,0.00,0.17,0.11,0.00,0.00
gruszka,0.14,0.14,0.14,0.14,0.00,0.00,0.29,0.29,0.43,0.22,0.12,0.22,0.14,0.00,0.14,0.29,0.09,0.14,0.00,0.00,0.14,0.43,0.00,0.00,0.14,0.00,0.14,0.11,0.12,0.12,0.29,0.00,0.00,0.11,0.50,0.12
banan,0.57,0.20,0.83,0.43,0.20,0.20,0.20,0.00,0.00,0.11,0.38,0.22,0.33,0.20,0.29,0.00,0.18,0.20,0.40,0.00,0.33,0.43,0.00,0.00,0.00,0.00,0.20,0.44,0.38,0.25,0.29,0.00,0.20,0.22,0.00,0.12
pomarańczowy,0.25,0.25,0.17,0.25,0.08,0.08,0.08,0.17,0.08,0.17,0.17,0.25,0.08,0.08,0.25,0.08,0.25,0.17,0.25,0.08,0.25,0.17,0.33,0.08,0.08,0.25,0.17,0.17,0.17,0.42,0.17,0.08,0.08,0.08,0.08,0.08
cytrynowy,0.11,0.11,0.11,0.22,0.11,0.11,0.00,0.22,0.11,0.00,0.11,0.11,0.11,0.11,0.22,0.22,0.18,0.00,0.11,0.11,0.11,0.22,0.11,0.11,0.00,0.22,0.00,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11
wapno,0.29,0.00,0.33,0.29,0.00,0.20,0.00,0.00,0.00,0.11,0.25,0.22,0.17,0.00,0.43,0.00,0.18,0.00,0.40,0.00,0.33,0.14,0.17,0.20,0.00,0.20,0.20,0.22,0.25,0.12,0.14,0.00,0.20,0.22,0.00,0.12
winogrono,0.22,0.11,0.22,0.22,0.22,0.00,0.00,0.11,0.11,0.00,0.22,0.11,0.11,0.11,0.22,0.11,0.09,0.11,0.33,0.11,0.00,0.11,0.22,0.33,0.00,0.22,0.00,0.33,0.22,0.00,0.00,0.00,0.00,0.22,0.11,0.11
wiśniowy,0.12,0.00,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.12,0.11,0.12,0.00,0.00,0.12,0.18,0.12,0.25,0.25,0.00,0.12,0.12,0.25,0.00,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.00
truskawka,0.22,0.11,0.22,0.22,0.00,0.11,0.22,0.11,0.33,0.22,0.22,0.11,0.22,0.00,0.22,0.22,0.00,0.11,0.11,0.22,0.22,0.33,0.00,0.00,0.11,0.00,0.22,0.11,0.22,0.00,0.33,0.00,0.11,0.11,0.33,0.11
malina,0.57,0.17,0.50,0.43,0.17,0.33,0.17,0.17,0.17,0.22,0.25,0.22,0.33,0.50,0.14,0.14,0.18,0.33,0.33,0.17,0.33,0.29,0.00,0.17,0.17,0.00,0.50,0.56,0.25,0.25,0.29,0.00,0.17,0.44,0.12,0.38
jagoda,0.29,0.17,0.33,0.29,0.00,0.17,0.17,0.17,0.17,0.22,0.25,0.33,0.33,0.00,0.00,0.14,0.18,0.17,0.33,0.00,0.33,0.43,0.00,0.33,0.17,0.17,0.33,0.22,0.25,0.12,0.29,0.00,0.17,0.22,0.12,0.12
jeżyna,0.29,0.33,0.33,0.29,0.17,0.00,0.17,0.33,0.17,0.11,0.12,0.11,0.17,0.33,0.14,0.14,0.00,0.17,0.00,0.00,0.17,0.14,0.00,0.00,0.33,0.00,0.17,0.22,0.12,0.00,0.29,0.00,0.00,0.33,0.12,0.38
arbuz,0.14,0.00,0.17,0.29,0.00,0.00,0.00,0.17,0.20,0.33,0.25,0.22,0.17,0.00,0.14,0.14,0.27,0.00,0.00,0.00,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.22,0.25,0.38,0.14,0.00,0.20,0.22,0.12,0.25
melon,0.29,0.20,0.17,0.14,0.20,0.20,0.00,0.17,0.00,0.11,0.12,0.11,0.00,0.80,0.14,0.14,0.09,0.00,0.20,0.00,0.00,0.00,0.50,0.20,0.20,0.20,0.20,0.22,0.12,0.12,0.00,0.00,0.00,0.22,0.25,0.25
brzoskwinia,0.18,0.09,0.27,0.18,0.09,0.00,0.09,0.09,0.27,0.18,0.18,0.18,0.18,0.09,0.09,0.09,0.00,0.18,0.09,0.27,0.09,0.18,0.09,0.09,0.09,0.09,0.09,0.27,0.18,0.00,0.09,0.00,0.09,0.27,0.36,0.18
śliwka,0.14,0.17,0.17,0.14,0.33,0.00,0.17,0.17,0.17,0.11,0.12,0.11,0.17,0.00,0.00,0.14,0.18,0.33,0.00,0.33,0.17,0.14,0.00,0.17,0.17,0.00,0.17,0.11,0.12,0.00,0.14,0.00,0.00,0.11,0.12,0.25
